Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach
CR-1,Request to move group mailbox ownership to new manager.,Network,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,High,High,High,2025-01-01T09:31:57.000000,2025-01-01T12:31:57.000000,2025-01-02T01:31:57.000000,1,3,Wednesday,0,3.0,13.0,16.0,0
CR-2,Request to create a new distribution list for the Marketing team.,Hardware,Thor,Thor,Avengers,Service B,Closed,Low,High,Medium,Medium,2025-01-01T08:36:06.000000,2025-01-01T14:36:06.000000,2025-01-02T08:36:06.000000,0,2,Wednesday,1,6.0,18.0,24.0,1
CR-3,Configuration update needed for internal voice gateway routing.,Data,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,High,High,High,2025-01-01T08:16:24.000000,2025-01-01T16:16:24.000000,2025-01-02T16:16:24.000000,1,2,Wednesday,0,8.0,24.0,32.0,1
CR-4,Request to enable remote access to on-site servers.,Complaint,John Wick,John Wick,Matrix,Service A,Closed,Medium,Low,Low,Low,2025-01-01T20:02:27.000000,2025-01-02T01:02:27.000000,2025-01-03T18:02:27.000000,0,1,Wednesday,1,5.0,41.0,46.0,0
CR-5,Request to add new printer to network for HR department.,Facilities,Captain America,Captain America,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-01T09:06:52.000000,2025-01-01T12:06:52.000000,2025-01-01T13:06:52.000000,0,5,Wednesday,1,3.0,1.0,4.0,0
CR-6,Request to delete unused virtual machines in non-production environment.,Network,John Wick,John Wick,Matrix,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-01T23:31:42.000000,2025-01-02T05:31:42.000000,2025-01-03T10:31:42.000000,1,2,Wednesday,0,6.0,29.0,35.0,1
CR-7,Request to enable remote access to on-site servers.,Network,Hulk,Hulk,Avengers,Service A,Closed,Low,Medium,Low,Low,2025-01-01T16:30:14.000000,2025-01-01T19:30:14.000000,2025-01-03T04:30:14.000000,0,1,Wednesday,1,3.0,33.0,36.0,1
CR-8,Relocation of desktop workstation within the office premises.,Access,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,High,High,High,2025-01-01T17:54:28.000000,2025-01-01T19:54:28.000000,2025-01-02T14:54:28.000000,0,2,Wednesday,1,2.0,19.0,21.0,1
CR-9,Install licensed Microsoft Visio on a department computer.,Network,Captain America,Captain America,Avengers,Service A,Closed,Medium,High,Medium,High,2025-01-01T22:21:55.000000,2025-01-02T01:21:55.000000,2025-01-02T19:21:55.000000,0,3,Wednesday,1,3.0,18.0,21.0,1
CR-10,Request to create a new distribution list for the Marketing team.,Facilities,Thor,Thor,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-01T08:37:14.000000,2025-01-01T11:37:14.000000,2025-01-02T03:37:14.000000,1,2,Wednesday,0,3.0,16.0,19.0,0
CR-11,Install licensed Microsoft Visio on a department computer.,Hardware,Thor,Thor,Avengers,Service B,On Hold,Low,Critical,High,High,2025-01-01T13:15:48.000000,,,0,5,Wednesday,1,0.0,0.0,0.0,0
CR-12,Request for secure deletion of files on retired desktops.,Access,Thor,Thor,Avengers,Service C,Closed,Medium,Medium,Low,Medium,2025-01-01T08:51:05.000000,2025-01-01T12:51:05.000000,2025-01-02T16:51:05.000000,0,2,Wednesday,1,4.0,28.0,32.0,1
CR-13,Re-enable accounts for recent employee returning after leave.,Complaint,Neo,Neo,Matrix,Service C,Closed,Low,High,Medium,High,2025-01-01T01:55:39.000000,2025-01-01T08:55:39.000000,2025-01-01T23:55:39.000000,0,2,Wednesday,1,7.0,15.0,22.0,0
CR-14,Upgrade virtual machine specs for training platform.,Software,John Wick,John Wick,Matrix,Service B,Closed,Medium,Medium,Low,Medium,2025-01-01T14:45:34.000000,2025-01-01T18:45:34.000000,2025-01-02T09:45:34.000000,0,2,Wednesday,1,4.0,15.0,19.0,0
CR-15,Upgrade virtual machine specs for training platform.,Facilities,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,High,High,Medium,2025-01-01T06:31:39.000000,2025-01-01T10:31:39.000000,2025-01-01T23:31:39.000000,0,3,Wednesday,1,4.0,13.0,17.0,0
CR-16,Enable high-availability configuration on two production servers.,Data,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-01T08:52:20.000000,2025-01-01T14:52:20.000000,2025-01-01T18:52:20.000000,0,4,Wednesday,1,6.0,4.0,10.0,0
CR-17,Enable port redirection for database replication tasks.,Network,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Critical,High,High,2025-01-01T13:56:13.000000,2025-01-01T20:56:13.000000,2025-01-02T08:56:13.000000,0,5,Wednesday,1,7.0,12.0,19.0,1
CR-18,Request for cloud storage account provisioning for upcoming project.,Access,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Medium,Low,Medium,2025-01-01T12:09:54.000000,2025-01-01T14:09:54.000000,2025-01-02T02:09:54.000000,0,1,Wednesday,1,2.0,12.0,14.0,0
CR-19,Request to enable remote access to on-site servers.,Network,John Wick,John Wick,Matrix,Service A,On Hold,High,Low,Low,Low,2025-01-01T19:15:56.000000,,,0,1,Wednesday,1,0.0,0.0,0.0,0
CR-20,Request to move group mailbox ownership to new manager.,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,High,Critical,High,Medium,2025-01-01T20:14:10.000000,2025-01-02T04:14:10.000000,2025-01-02T10:14:10.000000,0,5,Wednesday,1,8.0,6.0,14.0,1
CR-21,Reassign ownership of project management tools to new team lead.,Complaint,John Wick,John Wick,Matrix,Service A,Closed,Medium,High,High,Medium,2025-01-01T06:04:17.000000,2025-01-01T08:04:17.000000,2025-01-01T16:04:17.000000,0,3,Wednesday,1,2.0,8.0,10.0,0
CR-22,Request to delete unused virtual machines in non-production environment.,Software,Iron Man,Iron Man,Avengers,Service A,Closed,High,Critical,High,Medium,2025-01-01T20:26:49.000000,2025-01-02T03:26:49.000000,2025-01-02T11:26:49.000000,0,3,Wednesday,1,7.0,8.0,15.0,1
CR-23,Install licensed Microsoft Visio on a department computer.,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-01-01T13:12:49.000000,2025-01-01T18:12:49.000000,2025-01-02T08:12:49.000000,0,1,Wednesday,1,5.0,14.0,19.0,0
CR-24,Add two new access points to the office Wi-Fi network.,Complaint,Thor,Thor,Avengers,Service B,Closed,Low,Low,Low,Low,2025-01-01T01:59:52.000000,2025-01-01T07:59:52.000000,2025-01-02T16:59:52.000000,0,0,Wednesday,1,6.0,33.0,39.0,0
CR-25,Enable multi-factor authentication for remote developers.,Access,Loki,Loki,Avengers,Service C,Closed,High,High,Medium,High,2025-01-01T06:22:58.000000,2025-01-01T08:22:58.000000,2025-01-01T17:22:58.000000,0,2,Wednesday,1,2.0,9.0,11.0,0
CR-26,Enable multi-factor authentication for remote developers.,Failure,Thor,Thor,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-01T07:24:57.000000,2025-01-01T14:24:57.000000,2025-01-02T00:24:57.000000,0,3,Wednesday,1,7.0,10.0,17.0,1
CR-27,Request to reset password for employee account.,Network,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T17:54:06.000000,2025-01-01T20:54:06.000000,2025-01-02T13:54:06.000000,0,2,Wednesday,1,3.0,17.0,20.0,0
CR-28,Request to delete unused virtual machines in non-production environment.,Hardware,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,Critical,High,High,2025-01-01T18:06:19.000000,2025-01-02T02:06:19.000000,2025-01-02T10:06:19.000000,0,4,Wednesday,1,8.0,8.0,16.0,1
CR-29,Install licensed Microsoft Visio on a department computer.,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,Critical,High,Medium,2025-01-01T03:40:39.000000,2025-01-01T10:40:39.000000,2025-01-01T11:40:39.000000,0,5,Wednesday,1,7.0,1.0,8.0,0
CR-30,Request to delete unused virtual machines in non-production environment.,Data,Loki,Loki,Avengers,Service B,Closed,Low,High,High,Low,2025-01-01T00:48:41.000000,2025-01-01T02:48:41.000000,2025-01-02T01:48:41.000000,0,3,Wednesday,1,2.0,23.0,25.0,1
