Number,Short description,Change Environment,Requested by,Assigned to,Assignment group,Service,State,Risk score,Priority,Urgency,Impact,Created,Actual start,Closed,Day,Actual end
CR-1,Security patch applied: Monitoring for any issues.,Complaint,Iron Man,John Wick,Avengers,Service B,Closed,High,High,Low,Low,01/01/2025 21:57:57,02/01/2025 02:30:44,02/01/2025 10:21:51,Wednesday,02/01/2025 10:21:51
CR-2,Database schema corruption: Unable to read or query data tables.,Hardware,Michal,Hulk,Avengers,Service A,On Hold,Medium,Medium,Low,High,01/01/2025 05:26:42,,,Wednesday,
CR-3,Suspicious activity detected on account: User A.,Access,Thor,Peter,Avengers,Service A,Closed,Medium,Medium,Medium,Low,01/01/2025 15:27:00,01/01/2025 21:27:02,02/01/2025 16:44:12,Wednesday,02/01/2025 16:44:12
CR-4,Email flagged as phishing: Sensitive keywords detected.,Data,John Wick,Peter,Avengers II,Service B,Closed,Medium,Medium,High,Medium,01/01/2025 06:33:06,01/01/2025 11:33:21,02/01/2025 03:31:36,Wednesday,02/01/2025 03:31:36
CR-5,Cloud instance misconfiguration: Public access enabled.,Software,Captain America,Jan,Avengers II,Service C,Closed,Low,High,Medium,Medium,01/01/2025 18:12:00,01/01/2025 22:27:09,03/01/2025 18:46:09,Wednesday,03/01/2025 18:46:09
CR-6,Unauthorized device connected: MAC address not whitelisted.,Software,Thor,Martin,Avengers II,Service C,Closed,High,Medium,Medium,Medium,01/01/2025 00:33:25,01/01/2025 07:41:20,01/01/2025 16:23:02,Wednesday,01/01/2025 16:23:02
CR-7,Security patch applied: Monitoring for any issues.,Access,Michal,Hulk,Avengers II,Service A,New,Low,Low,Low,High,01/01/2025 15:08:07,,,Wednesday,
CR-8,Endpoint offline: Device not syncing with central server.,Facilities,Martin,Michal,Avengers,Service A,Closed,High,Low,Low,High,01/01/2025 08:07:39,01/01/2025 16:54:40,02/01/2025 17:13:24,Wednesday,02/01/2025 17:13:24
CR-9,Locked account: Excessive password retry attempts.,Access,Michal,Jan,Avengers,Service C,Closed,Medium,Medium,High,Low,01/01/2025 06:11:44,01/01/2025 14:12:32,02/01/2025 20:37:10,Wednesday,02/01/2025 20:37:10
CR-10,Database schema corruption: Unable to read or query data tables.,Facilities,John Wick,Black Panther,Matrix,Service A,Closed,High,Low,Low,Low,01/01/2025 18:13:20,02/01/2025 03:11:28,03/01/2025 06:50:37,Wednesday,03/01/2025 06:50:37
CR-11,Access request denied: Policy mismatch.,Software,Jan,Captain America,Avengers II,Service A,Closed,Medium,Medium,High,Low,01/01/2025 21:52:40,02/01/2025 04:18:10,02/01/2025 09:19:57,Wednesday,02/01/2025 09:19:57
CR-12,Failed SSO login: Invalid credentials provided.,Data,Jan,Peter,Avengers II,Service A,Closed,Low,Low,High,Medium,01/01/2025 02:12:17,01/01/2025 07:32:31,02/01/2025 04:11:54,Wednesday,02/01/2025 04:11:54
CR-13,Critical alert: Database server overload detected.,Data,Thor,Peter,Avengers,Service C,New,Low,Low,Low,High,01/01/2025 21:36:16,,,Wednesday,
CR-14,VPN connection failure: Unable to securely tunnel data.,Hardware,Martin,Black Panther,Avengers,Service B,New,High,Low,High,Medium,01/01/2025 18:18:07,,,Wednesday,
CR-15,Cross-site scripting (XSS) detected on customer portal.,Failure,Michal,Peter,Avengers,Service B,Closed,Low,High,Low,Low,01/01/2025 10:32:19,01/01/2025 13:53:38,02/01/2025 20:30:54,Wednesday,02/01/2025 20:30:54
CR-16,SOC analyst triggered investigation for suspicious server activity.,Access,Jan,Hulk,Avengers II,Service C,Closed,Medium,Medium,Low,High,01/01/2025 19:14:01,02/01/2025 01:25:08,02/01/2025 13:51:44,Wednesday,02/01/2025 13:51:44
CR-17,USB device blocked: Removable media protection active.,Failure,Martin,Black Panther,Avengers II,Service C,Closed,Low,Medium,High,High,01/01/2025 01:15:55,01/01/2025 03:38:29,01/01/2025 22:20:48,Wednesday,01/01/2025 22:20:48
CR-18,Phishing email flagged: User report received for fake login attempt.,Complaint,Hulk,Iron Man,Avengers II,Service C,Closed,Low,Low,Low,Low,01/01/2025 21:49:30,02/01/2025 06:45:13,02/01/2025 11:26:29,Wednesday,02/01/2025 11:26:29
CR-19,Cloud storage accessed by untrusted device.,Access,Black Panther,Martin,Avengers,Service A,Closed,Low,High,High,Low,01/01/2025 06:05:53,01/01/2025 14:55:45,03/01/2025 05:45:01,Wednesday,03/01/2025 05:45:01
CR-20,Memory exhaustion detected: Application terminated unexpectedly.,Data,Jan,Black Panther,Matrix,Service B,Closed,Low,Low,High,Medium,01/01/2025 22:17:14,02/01/2025 04:40:35,02/01/2025 07:33:44,Wednesday,02/01/2025 07:33:44
CR-21,Database schema corruption: Unable to read or query data tables.,Software,Peter,Black Panther,Avengers,Service B,Closed,Medium,High,Medium,High,01/01/2025 05:55:21,01/01/2025 08:14:53,01/01/2025 14:26:24,Wednesday,01/01/2025 14:26:24
CR-22,Backup server unreachable: Error code 502.,Software,Jan,Peter,Avengers II,Service B,On Hold,High,Medium,Medium,Medium,01/01/2025 17:33:22,,,Wednesday,
CR-23,Data exfiltration alert: Large outbound transfer from server.,Failure,Peter,Thor,Avengers II,Service A,Closed,High,High,High,Medium,01/01/2025 12:16:15,01/01/2025 17:57:18,02/01/2025 00:06:47,Wednesday,02/01/2025 00:06:47
CR-24,Authentication error: Multi-factor authentication failed.,Access,Martin,Black Panther,Avengers II,Service B,Closed,High,Low,Low,Low,01/01/2025 22:29:28,02/01/2025 06:08:32,03/01/2025 18:56:11,Wednesday,03/01/2025 18:56:11
CR-25,Malware alert: Suspicious executable flagged during scan.,Software,Thor,Hulk,Avengers,Service B,Closed,High,Low,High,Low,01/01/2025 07:30:25,01/01/2025 11:12:20,02/01/2025 10:37:46,Wednesday,02/01/2025 10:37:46
CR-26,Critical security incident logged: Immediate remediation required.,Hardware,Iron Man,Peter,Avengers,Service A,Closed,High,Medium,High,Low,01/01/2025 19:54:31,01/01/2025 23:15:13,03/01/2025 08:30:21,Wednesday,03/01/2025 08:30:21
