Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day
CHG-0000001,Certificate adjustments for new virtual database pipelines.,Failure,John Cena,John Cena,Matrix,Service C,In Progress,High,High,High,High,2025-01-01T00:11:50.000000,2025-01-01T02:11:50.000000,,1,Wednesday
CHG-0000002,Certificate update for Palo Alto gatekeeping subnet for KL relocation network.,Hardware,John Cena,John Cena,Matrix,Service C,Closed,Low,Medium,Medium,Low,2025-01-01T12:45:05.000000,2025-01-01T15:45:05.000000,2025-01-02T04:45:05.000000,0,Wednesday
CHG-0000003,Patch network appliances for compliance with wireless protocols.,Complaint,John Cena,John Cena,Matrix,Service B,Closed,High,High,High,Medium,2025-01-01T13:16:30.000000,2025-01-01T17:16:30.000000,2025-01-02T07:16:30.000000,0,Wednesday
CHG-0000004,"VUL-NET: Cisco Wireless IOS-XE Software Update for WLC9800 | Jugoslavska, CZ (PRA06).",Hardware,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,Critical,High,High,2025-01-01T19:27:29.000000,2025-01-01T22:27:29.000000,2025-01-01T23:27:29.000000,0,Wednesday
CHG-0000005,Certificate update for Palo Alto gatekeeping subnet for KL relocation network.,Access,Loki,Loki,Avengers,Service A,Closed,Low,High,High,Medium,2025-01-01T06:16:48.000000,2025-01-01T08:16:48.000000,2025-01-02T08:16:48.000000,0,Wednesday
CHG-0000006,Online Banking external CB-APP onboarding on Radware On-prem environment.,Data,Neo,Neo,Matrix,Service C,Closed,Low,Medium,Low,Medium,2025-01-01T18:58:56.000000,2025-01-01T21:58:56.000000,2025-01-03T09:58:56.000000,0,Wednesday
CHG-0000007,Install httpd-tools on twgmmp01.zit.commerzbank.com.,Network,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,High,High,2025-01-01T06:24:36.000000,2025-01-01T12:24:36.000000,2025-01-02T07:24:36.000000,1,Wednesday
CHG-0000008,Enable additional remote IPV6 routing for Japanese production systems.,Hardware,Hulk,Hulk,Avengers,Service B,Closed,Medium,High,High,Medium,2025-01-01T06:36:35.000000,2025-01-01T08:36:35.000000,2025-01-01T17:36:35.000000,0,Wednesday
CHG-0000009,Certificate adjustments for new virtual database pipelines.,Software,John Wick,John Wick,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-01-01T20:43:25.000000,2025-01-02T01:43:25.000000,2025-01-03T07:43:25.000000,0,Wednesday
CHG-0000010,Execution of systemctl daemon-reload to patch Prod-CSO VM resiliency.,Failure,Iron Man,Iron Man,Avengers,Service C,New,High,Low,Low,Low,2025-01-01T23:35:26.000000,,,1,Wednesday
CHG-0000011,Enable database backups at sv273046 for production environment.,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,High,Critical,High,High,2025-01-02T23:44:47.000000,2025-01-03T07:44:47.000000,2025-01-03T16:44:47.000000,0,Thursday
CHG-0000012,Grant access for backup recovery on production machine nodes in DR locations.,Complaint,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,High,High,High,2025-01-02T23:11:06.000000,2025-01-03T06:11:06.000000,2025-01-03T22:11:06.000000,0,Thursday
CHG-0000013,Test external web proxy configurations on development servers.,Software,Thor,Thor,Avengers,Service A,Closed,Low,High,High,High,2025-01-02T04:55:45.000000,2025-01-02T08:55:45.000000,2025-01-02T18:55:45.000000,0,Thursday
CHG-0000014,Case 65943239: Upgrade Ontap version to 9.14.1P12.,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,High,High,High,2025-01-02T16:10:38.000000,2025-01-02T20:10:38.000000,2025-01-03T11:10:38.000000,0,Thursday
CHG-0000015,Updating the IDRAC remote board Firmware and BIOS for timffm21.,Software,Batman,Batman,Matrix,Service C,Closed,Low,High,Medium,Medium,2025-01-02T20:37:32.000000,2025-01-03T02:37:32.000000,2025-01-03T15:37:32.000000,0,Thursday
CHG-0000016,SSL certificate renewal for SWS corporate web hosting final access gateways.,Data,Batman,Batman,Matrix,Service B,Closed,High,Critical,High,High,2025-01-02T18:28:38.000000,2025-01-03T01:28:38.000000,2025-01-03T05:28:38.000000,0,Thursday
CHG-0000017,Certificate renewal request for high-availability environment 2026.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,Low,Low,Low,2025-01-02T11:48:25.000000,2025-01-02T13:48:25.000000,2025-01-04T03:48:25.000000,0,Thursday
CHG-0000018,Certificate renewal for Avatar PROD environment 2026 - (VAA-Threat Application).,Hardware,Hulk,Hulk,Avengers,Service B,On Hold,Medium,Critical,High,Medium,2025-01-02T14:10:27.000000,,,0,Thursday
CHG-0000019,Firewall configuration changes for disaster recovery validation testing.,Software,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Medium,High,Medium,High,2025-01-02T02:02:51.000000,2025-01-02T10:02:51.000000,2025-01-02T23:02:51.000000,0,Thursday
CHG-0000020,New IP subnet & access point testing for KL relocation project.,Data,Thor,Thor,Avengers,Service B,Closed,Medium,High,High,Medium,2025-01-02T10:38:38.000000,2025-01-02T12:38:38.000000,2025-01-03T05:38:38.000000,1,Thursday
CHG-0000021,Certificate renewal for Avatar PROD environment 2026 - (VAA-Threat Application).,Complaint,John Wick,John Wick,Matrix,Service C,Closed,Medium,Low,Low,Low,2025-01-02T12:46:38.000000,2025-01-02T17:46:38.000000,2025-01-05T13:46:38.000000,0,Thursday
CHG-0000022,Execute hardening measures for SQL server instances post security audit.,Network,Hulk,Hulk,Avengers,Service A,Closed,Low,Medium,Medium,Low,2025-01-02T17:31:48.000000,2025-01-02T20:31:48.000000,2025-01-03T23:31:48.000000,1,Thursday
CHG-0000023,Replace legacy switches with modern devices in Market Data Environment.,Software,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,Medium,Low,Medium,2025-01-02T10:39:24.000000,2025-01-02T14:39:24.000000,2025-01-03T09:39:24.000000,0,Thursday
CHG-0000024,Subnet migration alignment to cater towards hybrid env-discoveries (Prepare Step ongoing).,Software,Hulk,Hulk,Avengers,Service C,Closed,Medium,High,High,High,2025-01-02T10:00:27.000000,2025-01-02T17:00:27.000000,2025-01-03T05:00:27.000000,1,Thursday
CHG-0000025,Execute hardening measures for SQL server instances post security audit.,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Critical,High,High,2025-01-02T06:35:22.000000,2025-01-02T11:35:22.000000,2025-01-02T15:35:22.000000,0,Thursday
CHG-0000026,Expand edge metrics transitioning through Palo FLEX Zeon tiers vs EU roots.,Access,Thor,Thor,Avengers,Service A,Closed,High,Critical,High,High,2025-01-02T16:14:02.000000,2025-01-02T21:14:02.000000,2025-01-03T06:14:02.000000,0,Thursday
CHG-0000027,Update IDRAC remote board Firmware and BIOS for forffm71.,Software,Captain America,Captain America,Avengers,Service A,Closed,Medium,Low,Low,Low,2025-01-02T16:08:25.000000,2025-01-03T00:08:25.000000,2025-01-04T18:08:25.000000,0,Thursday
CHG-0000028,Test external web proxy configurations on development servers.,Access,Thor,Thor,Avengers,Service A,Closed,High,Critical,High,High,2025-01-02T04:34:51.000000,2025-01-02T08:34:51.000000,2025-01-02T09:34:51.000000,0,Thursday
CHG-0000029,"Server BIOS updates across remote virtual VM hosts (RESFFM01, SECFFM01).",Complaint,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Critical,High,High,2025-01-02T14:03:11.000000,2025-01-02T20:03:11.000000,2025-01-03T03:03:11.000000,0,Thursday
CHG-0000030,Grant access to crontab for ta2twga on twgmmp01.zit.commerzbank.com.,Network,Shang Chi,Shang Chi,Avengers II,Service B,On Hold,Low,Medium,Low,Medium,2025-01-02T03:58:25.000000,,,0,Thursday
CHG-0000031,Update IDRAC board for core cluster PROD servers.,Software,Iron Man,Iron Man,Avengers,Service C,In Progress,Medium,High,High,Low,2025-01-02T21:36:15.000000,2025-01-03T02:36:15.000000,,0,Thursday
CHG-0000032,"Server BIOS updates across remote virtual VM hosts (RESFFM01, SECFFM01).",Access,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,High,High,High,2025-01-02T11:39:59.000000,2025-01-02T15:39:59.000000,2025-01-03T13:39:59.000000,0,Thursday
CHG-0000033,Deploy ACL rules for high-priority Office 365 tenants across European zones.,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Medium,Medium,Medium,Low,2025-01-02T12:26:18.000000,2025-01-02T20:26:18.000000,2025-01-03T11:26:18.000000,0,Thursday
CHG-0000034,Firewall optimization for edge routing performance post DR testing.,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,High,Medium,High,2025-01-02T23:42:39.000000,2025-01-03T03:42:39.000000,2025-01-04T02:42:39.000000,0,Thursday
CHG-0000035,Subnet migration alignment to cater towards hybrid env-discoveries (Prepare Step ongoing).,Data,Captain America,Captain America,Avengers,Service C,New,Medium,Critical,High,High,2025-01-02T17:51:06.000000,,,0,Thursday
CHG-0000036,Enable database backups at sv273046 for production environment.,Software,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Medium,Low,Low,Low,2025-01-02T03:51:08.000000,2025-01-02T11:51:08.000000,2025-01-04T04:51:08.000000,1,Thursday
CHG-0000037,Install system monitoring scripts on AWS-hosted general-purpose non-prod servers.,Hardware,John Wick,John Wick,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-02T17:57:46.000000,2025-01-03T01:57:46.000000,2025-01-03T21:57:46.000000,0,Thursday
CHG-0000038,"VUL-NET: Apply Cisco IOS Software Update for routers at PRA, SHA, and TOK sites.",Network,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-02T07:52:36.000000,2025-01-02T15:52:36.000000,2025-01-04T02:52:36.000000,0,Thursday
CHG-0000039,Grant access to crontab for ta2twga on twgmmp01.zit.commerzbank.com.,Hardware,Hulk,Hulk,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-03T16:56:14.000000,2025-01-03T23:56:14.000000,2025-01-04T06:56:14.000000,0,Friday
CHG-0000040,Updating the IDRAC remote board Firmware and BIOS for sonklb31.,Failure,Neo,Neo,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-01-03T16:04:08.000000,2025-01-03T23:04:08.000000,2025-01-05T02:04:08.000000,1,Friday
CHG-0000041,Update from RHEL8.9 to RHEL8.10 on database workloads (non-prod).,Software,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-03T02:39:24.000000,2025-01-03T09:39:24.000000,2025-01-04T15:39:24.000000,0,Friday
CHG-0000042,Certificate adjustments for new virtual database pipelines.,Network,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-03T18:26:59.000000,2025-01-03T23:26:59.000000,2025-01-04T08:26:59.000000,0,Friday
CHG-0000043,Patch network appliances for compliance with wireless protocols.,Data,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Medium,Medium,Low,Medium,2025-01-03T11:20:52.000000,2025-01-03T18:20:52.000000,2025-01-05T01:20:52.000000,0,Friday
CHG-0000044,VUL-NET: Critical Juniper network patch for external office gateways.,Software,Batman,Batman,Matrix,Service B,Closed,Medium,Medium,Low,Medium,2025-01-03T11:03:04.000000,2025-01-03T18:03:04.000000,2025-01-04T23:03:04.000000,1,Friday
