Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,Risk,Urgency,Impact,State,Priority,Created,Day,Start Date,Closed,Reopen Count
CHG-0000001,Certificate renewal request for high-availability environment 2026.,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service C,High,High,Low,Closed,Critical,2025-01-01T12:16:02.000000,Wednesday,2025-01-01T20:16:02.000000,2025-01-02T12:16:02.000000,4
CHG-0000002,Update the IDRAC remote board Firmware and BIOS for secklb01.,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service D,Medium,High,Low,Closed,Low,2025-01-01T22:41:24.000000,Wednesday,2025-01-02T02:41:24.000000,2025-01-03T04:41:24.000000,1
CHG-0000003,UC4 Agent Installation on gcetcami001.,Facilities,Thor,Thor,Avengers,Service E,Low,Medium,High,New,Medium,2025-01-01T18:03:10.000000,Wednesday,,,1
CHG-0000004,Replace legacy switches with modern devices in Market Data Environment.,Network,Captain America,Captain America,Avengers,Service D,Medium,Medium,High,Closed,Medium,2025-01-02T20:33:03.000000,Thursday,2025-01-03T02:33:03.000000,2025-01-04T11:33:03.000000,1
CHG-0000005,TAPs installation in IMK productive connections for work order #REQ0157356.,Network,Iron Man,Iron Man,Avengers,Service E,High,High,Medium,Closed,Medium,2025-01-02T02:32:18.000000,Thursday,2025-01-02T04:32:18.000000,2025-01-03T08:32:18.000000,1
CHG-0000006,Certificate renewal Digital Banking on PROD environment 2026.,Data,Spiderman,Spiderman,Avengers II,Service E,Medium,Medium,High,Closed,Medium,2025-01-02T03:10:55.000000,Thursday,2025-01-02T09:10:55.000000,2025-01-03T14:10:55.000000,3
CHG-0000007,"Remote board SSL Cert renewal for ressgpe0 , ressgpe1 , secsgpe0 & secsgpe1.",Complaint,Spiderman,Spiderman,Avengers II,Service B,Medium,Low,High,Closed,Low,2025-01-02T02:36:17.000000,Thursday,2025-01-02T08:36:17.000000,2025-01-03T13:36:17.000000,3
CHG-0000008,Emergency fall-back routing enabled for Redis cluster 6 under high throughput.,Facilities,Hulk,Hulk,Avengers,Service A,Low,High,Medium,In Progress,High,2025-01-02T21:56:56.000000,Thursday,2025-01-03T04:56:56.000000,,0
CHG-0000009,Test external web proxy configurations on development servers.,Network,Captain America,Captain America,Avengers,Service A,Medium,Medium,Low,Closed,Medium,2025-01-03T10:45:08.000000,Friday,2025-01-03T12:45:08.000000,2025-01-04T03:45:08.000000,3
CHG-0000010,ACI switchports configuration for work orders #REQ0155328 #REQ0147118 #REQ0152855.,Failure,Thor,Thor,Avengers,Service B,Medium,Medium,Low,Closed,High,2025-01-03T14:30:36.000000,Friday,2025-01-03T19:30:36.000000,2025-01-04T17:30:36.000000,4
