Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag
CR-1,Sluggish database response due to backup corruption issues.,Access,John Cena,John Cena,Matrix,Service A,Closed,Medium,High,High,High,2025-01-01T03:44:23.000000,2025-01-01T06:44:23.000000,2025-01-02T02:44:23.000000,0,3,Wednesday,1
CR-2,Database rollback failed due to corrupted backup imports.,Facilities,John Cena,John Cena,Matrix,Service A,Closed,Low,Medium,Low,Medium,2025-01-01T03:24:43.000000,2025-01-01T11:24:43.000000,2025-01-02T19:24:43.000000,1,2,Wednesday,0
CR-3,Firewall misconfiguration allowed unauthorized access.,Software,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,High,Medium,High,2025-01-01T01:48:13.000000,2025-01-01T06:48:13.000000,2025-01-01T20:48:13.000000,0,3,Wednesday,1
CR-4,Sluggish database response due to backup corruption issues.,Data,Captain America,Captain America,Avengers,Service A,New,Low,Medium,Medium,Medium,2025-01-01T16:43:44.000000,,,1,1,Wednesday,0
CR-5,High file transfer identified; possible data exfiltration suspected.,Access,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-01T22:53:54.000000,2025-01-02T04:53:54.000000,2025-01-03T00:53:54.000000,0,1,Wednesday,1
CR-6,Firewall misconfiguration allowed unauthorized access.,Network,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-01T16:52:27.000000,2025-01-01T23:52:27.000000,2025-01-02T00:52:27.000000,0,5,Wednesday,1
CR-7,Repeated failed ping attempts logged for external endpoint.,Hardware,Loki,Loki,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T14:08:55.000000,2025-01-01T18:08:55.000000,2025-01-01T21:08:55.000000,0,3,Wednesday,1
CR-8,Data threshold exceeded causing mainframe overload flag upstream details cluster pipeline inline faults matrix overview.,Software,John Wick,John Wick,Matrix,Service B,Closed,High,High,High,High,2025-01-01T13:17:00.000000,2025-01-01T18:17:00.000000,2025-01-02T00:17:00.000000,0,3,Wednesday,1
CR-9,ARP spoofing detected during endpoint network scans.,Failure,Iron Man,Iron Man,Avengers,Service C,Closed,High,High,Medium,High,2025-01-01T12:23:32.000000,2025-01-01T16:23:32.000000,2025-01-02T14:23:32.000000,0,3,Wednesday,1
CR-10,Failed packet transmission in monitoring interfaces.,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,Critical,High,High,2025-01-01T17:59:00.000000,2025-01-01T19:59:00.000000,2025-01-02T06:59:00.000000,1,3,Wednesday,0
CR-11,Unexpected database schema changes caused request failures.,Complaint,Thor,Thor,Avengers,Service B,On Hold,High,High,High,High,2025-01-01T01:40:45.000000,,,0,2,Wednesday,1
CR-12,Multiple hostname errors flagged due to mismatched entries in logs.,Data,Loki,Loki,Avengers,Service C,Closed,Low,High,High,High,2025-01-01T23:26:32.000000,2025-01-02T03:26:32.000000,2025-01-02T22:26:32.000000,0,2,Wednesday,1
CR-13,Malware protection disabled on user workstation.,Network,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,High,High,High,2025-01-01T05:05:53.000000,2025-01-01T13:05:53.000000,2025-01-02T06:05:53.000000,0,3,Wednesday,1
CR-14,Workload forecasting triggered after peak hours response logs clustered anomalies.,Software,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T08:17:24.000000,2025-01-01T14:17:24.000000,2025-01-01T21:17:24.000000,0,3,Wednesday,1
CR-15,Unencrypted email flagged during sensitive admin data processes matrix heading.,Software,John Wick,John Wick,Matrix,Service A,Closed,Low,Critical,High,Medium,2025-01-01T01:31:20.000000,2025-01-01T08:31:20.000000,2025-01-01T17:31:20.000000,0,5,Wednesday,1
CR-16,ARP spoofing detected during endpoint network scans.,Hardware,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-01T14:32:29.000000,2025-01-01T19:32:29.000000,2025-01-03T02:32:29.000000,0,2,Wednesday,1
CR-17,Repeated failed ping attempts logged for external endpoint.,Facilities,Captain America,Captain America,Avengers,Service A,Closed,High,Low,Low,Low,2025-01-01T10:21:44.000000,2025-01-01T15:21:44.000000,2025-01-03T03:21:44.000000,0,0,Wednesday,1
