Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-1,Inconsistent behavior of multi-factor authentication prompts,Complaint,Captain America,Captain America,Avengers,Service B,Closed,High,Critical,High,High,2025-01-01T23:01:22.000000,2025-01-02T07:01:22.000000,2025-01-02T10:01:22.000000,0,5,Wednesday,1,8.0,3.0,11.0,0,2025-01
CR-2,Random freezing of operating system on virtual desktops,Data,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Medium,Medium,Low,2025-01-01T02:20:32.000000,2025-01-01T09:20:32.000000,2025-01-02T07:20:32.000000,0,1,Wednesday,1,7.0,22.0,29.0,0,2025-01
CR-3,Random failures in software deployment to endpoints,Software,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Medium,Low,Low,2025-01-01T01:46:14.000000,2025-01-01T07:46:14.000000,2025-01-02T17:46:14.000000,0,2,Wednesday,1,6.0,34.0,40.0,1,2025-01
CR-4,Recurring time synchronization issues across servers,Complaint,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Medium,Medium,Low,2025-01-01T11:21:12.000000,2025-01-01T18:21:12.000000,2025-01-02T13:21:12.000000,0,2,Wednesday,1,7.0,19.0,26.0,0,2025-01
CR-5,Frequent account lockouts for multiple users,Network,Hulk,Hulk,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-01T07:10:55.000000,2025-01-01T15:10:55.000000,2025-01-01T19:10:55.000000,0,4,Wednesday,1,8.0,4.0,12.0,0,2025-01
CR-6,Frequent corruption of user profiles on shared workstations,Network,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,Critical,High,High,2025-01-01T14:56:35.000000,2025-01-01T20:56:35.000000,2025-01-02T00:56:35.000000,0,4,Wednesday,1,6.0,4.0,10.0,0,2025-01
CR-7,Random failures in software deployment to endpoints,Facilities,Neo,Neo,Matrix,Service A,New,Low,Critical,Medium,High,2025-01-01T19:56:03.000000,,,1,4,Wednesday,0,,,,0,2025-01
CR-8,Inconsistent synchronization between production and reporting databases,Facilities,Neo,Neo,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-01-01T11:45:38.000000,2025-01-01T19:45:38.000000,2025-01-03T06:45:38.000000,0,2,Wednesday,1,8.0,35.0,43.0,1,2025-01
CR-9,Frequent corruption of user profiles on shared workstations,Network,Iron Man,Iron Man,Avengers,Service A,Closed,High,High,High,High,2025-01-01T04:34:36.000000,2025-01-01T11:34:36.000000,2025-01-02T10:34:36.000000,1,3,Wednesday,0,7.0,23.0,30.0,1,2025-01
CR-10,Random loss of mapped network drives on login,Software,Loki,Loki,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-01T00:57:35.000000,2025-01-01T07:57:35.000000,2025-01-01T15:57:35.000000,1,4,Wednesday,0,7.0,8.0,15.0,1,2025-01
