Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag
CR-1,Printing jobs stuck in queue without error message,Hardware,Iron Man,Iron Man,Avengers,Service B,Closed,High,Medium,Medium,Medium,2025-01-01T04:55:47.000000,2025-01-01T10:55:47.000000,2025-01-02T10:55:47.000000,1,1,Wednesday,0
CR-2,User unable to change expired password remotely,Facilities,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T03:39:06.000000,2025-01-01T11:39:06.000000,2025-01-01T15:39:06.000000,0,4,Wednesday,1
CR-3,Delayed message delivery in internal chat system,Software,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-01T19:36:24.000000,2025-01-01T21:36:24.000000,2025-01-02T10:36:24.000000,0,2,Wednesday,1
CR-4,Application crash when user attempts specific function,Access,Hulk,Hulk,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-01T11:15:09.000000,2025-01-01T16:15:09.000000,2025-01-02T04:15:09.000000,0,3,Wednesday,1
CR-5,User account locked after multiple failed login attempts,Complaint,Hulk,Hulk,Avengers,Service C,Closed,Low,High,High,Medium,2025-01-01T14:55:01.000000,2025-01-01T21:55:01.000000,2025-01-02T20:55:01.000000,0,3,Wednesday,1
CR-6,User unable to change expired password remotely,Data,Loki,Loki,Avengers,Service A,Closed,High,Critical,High,High,2025-01-01T04:13:06.000000,2025-01-01T10:13:06.000000,2025-01-01T18:13:06.000000,0,4,Wednesday,1
CR-7,Time synchronization issue causing authentication failures,Software,Batman,Batman,Matrix,Service B,Closed,Low,Critical,High,High,2025-01-01T17:49:58.000000,2025-01-01T21:49:58.000000,2025-01-02T08:49:58.000000,0,4,Wednesday,1
CR-8,Unexpected logout from critical application during use,Access,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-01T12:46:56.000000,2025-01-01T17:46:56.000000,2025-01-03T01:46:56.000000,0,2,Wednesday,1
CR-9,Shared network drive not accessible,Facilities,Neo,Neo,Matrix,Service A,Closed,Low,Medium,Medium,Low,2025-01-01T22:27:09.000000,2025-01-02T01:27:09.000000,2025-01-03T02:27:09.000000,1,2,Wednesday,0
CR-10,VoIP phone not registering with call manager,Complaint,Loki,Loki,Avengers,Service A,Closed,Low,High,High,High,2025-01-01T05:21:02.000000,2025-01-01T07:21:02.000000,2025-01-02T00:21:02.000000,1,3,Wednesday,0
CR-11,Endpoint not checking in with management server,Access,Captain America,Captain America,Avengers,Service C,Closed,Low,High,High,Medium,2025-01-01T20:17:30.000000,2025-01-02T00:17:30.000000,2025-01-02T21:17:30.000000,0,2,Wednesday,1
