Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,Risk,Urgency,Impact,State,Priority,Created,Day,Start Date,Closed,Reopen Count
CHG-0000001,Update configuration for single sign-on integration,Hardware,Spiderman,Spiderman,Avengers II,Service D,Medium,Medium,Low,Closed,Medium,2025-01-01T01:04:32.000000,Wednesday,2025-01-01T06:04:32.000000,2025-01-01T11:04:32.000000,5
CHG-0000002,Migrate user mailboxes to new email platform,Hardware,Captain America,Captain America,Avengers,Service A,Medium,Medium,Medium,Closed,Low,2025-01-01T11:09:58.000000,Wednesday,2025-01-01T16:09:58.000000,2025-01-02T04:09:58.000000,5
CHG-0000003,Update DNS records for application hostname change,Hardware,Hulk,Hulk,Avengers,Service B,High,Low,High,Closed,Medium,2025-01-01T11:02:45.000000,Wednesday,2025-01-01T19:02:45.000000,2025-01-02T20:02:45.000000,0
CHG-0000004,Implement new password policy across domain,Data,Shang Chi,Shang Chi,Avengers II,Service B,Low,Medium,Low,Closed,Medium,2025-01-01T04:28:20.000000,Wednesday,2025-01-01T08:28:20.000000,2025-01-01T15:28:20.000000,5
CHG-0000005,Upgrade virtualization platform to latest version,Access,Neo,Neo,Matrix,Service B,Low,Low,Medium,Closed,Critical,2025-01-02T20:13:04.000000,Thursday,2025-01-02T22:13:04.000000,2025-01-03T07:13:04.000000,3
CHG-0000006,Deploy new version of endpoint management agent,Failure,Shang Chi,Shang Chi,Avengers II,Service D,High,Medium,Medium,Closed,High,2025-01-02T21:49:31.000000,Thursday,2025-01-02T23:49:31.000000,2025-01-03T19:49:31.000000,4
CHG-0000007,Reconfigure service monitoring checks for new URLs,Facilities,Iron Man,Iron Man,Avengers,Service A,High,Medium,Low,Closed,High,2025-01-02T14:08:55.000000,Thursday,2025-01-02T21:08:55.000000,2025-01-04T02:08:55.000000,2
CHG-0000008,Reconfigure application timeout settings,Complaint,Neo,Neo,Matrix,Service B,Medium,Medium,Medium,Closed,Medium,2025-01-03T20:38:51.000000,Friday,2025-01-04T01:38:51.000000,2025-01-04T13:38:51.000000,1
CHG-0000009,Introduce new email disclaimer for outgoing messages,Complaint,John Wick,John Wick,Matrix,Service B,High,Low,Medium,Closed,Medium,2025-01-03T08:56:05.000000,Friday,2025-01-03T10:56:05.000000,2025-01-04T09:56:05.000000,2
CHG-0000010,Deploy new version of mobile banking API,Hardware,Loki,Loki,Avengers,Service A,Medium,Low,Low,Closed,Low,2025-01-03T00:46:11.000000,Friday,2025-01-03T03:46:11.000000,2025-01-03T23:46:11.000000,5
CHG-0000011,Implement new retention policy for log data,Data,Loki,Loki,Avengers,Service D,Low,Medium,High,Closed,Low,2025-01-04T00:28:36.000000,Saturday,2025-01-04T08:28:36.000000,2025-01-05T06:28:36.000000,4
CHG-0000012,Migrate application from test to production environment,Software,Captain America,Captain America,Avengers,Service A,Low,High,Medium,New,High,2025-01-04T04:39:42.000000,Saturday,,,1
CHG-0000013,Deploy new configuration for password self-service portal,Access,John Cena,John Cena,Matrix,Service B,High,Low,Medium,Closed,Critical,2025-01-05T04:19:14.000000,Sunday,2025-01-05T08:19:14.000000,2025-01-05T12:19:14.000000,1
CHG-0000014,Change print server configuration for new printers,Complaint,Iron Man,Iron Man,Avengers,Service C,High,High,Low,Closed,Medium,2025-01-05T21:30:46.000000,Sunday,2025-01-06T00:30:46.000000,2025-01-07T09:30:46.000000,0
CHG-0000015,Upgrade operating system on middleware servers,Software,Captain America,Captain America,Avengers,Service D,High,Medium,Medium,Closed,Low,2025-01-06T19:11:40.000000,Monday,2025-01-06T22:11:40.000000,2025-01-07T15:11:40.000000,0
CHG-0000016,Configure new SFTP connection to external partner,Complaint,Batman,Batman,Matrix,Service E,Medium,Medium,High,Closed,Low,2025-01-07T03:36:15.000000,Tuesday,2025-01-07T11:36:15.000000,2025-01-08T01:36:15.000000,5
CHG-0000017,Enable multi-factor authentication for VPN users,Complaint,Captain America,Captain America,Avengers,Service C,High,Low,High,Closed,Medium,2025-01-07T20:37:27.000000,Tuesday,2025-01-08T03:37:27.000000,2025-01-08T16:37:27.000000,0
CHG-0000018,Migrate application from test to production environment,Failure,Doctor Strange,Doctor Strange,Avengers II,Service C,High,Low,Medium,Closed,Medium,2025-01-07T23:42:36.000000,Tuesday,2025-01-08T05:42:36.000000,2025-01-09T02:42:36.000000,3
CHG-0000019,Implement new proxy configuration for internet access,Hardware,Shang Chi,Shang Chi,Avengers II,Service B,High,High,Low,Closed,Medium,2025-01-07T19:18:11.000000,Tuesday,2025-01-08T00:18:11.000000,2025-01-08T05:18:11.000000,2
CHG-0000020,Change time synchronization settings for servers,Data,Loki,Loki,Avengers,Service D,High,Low,Medium,Closed,High,2025-01-07T09:47:49.000000,Tuesday,2025-01-07T17:47:49.000000,2025-01-08T01:47:49.000000,5
CHG-0000021,Deploy new version of mobile banking API,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service E,High,Medium,Medium,Closed,Medium,2025-01-08T04:19:51.000000,Wednesday,2025-01-08T11:19:51.000000,2025-01-09T18:19:51.000000,3
CHG-0000022,Adjust monitoring thresholds for critical alerts,Hardware,Thor,Thor,Avengers,Service A,High,Low,Medium,In Progress,Critical,2025-01-08T03:19:45.000000,Wednesday,2025-01-08T09:19:45.000000,,5
CHG-0000023,Implement role-based access control for application,Software,Doctor Strange,Doctor Strange,Avengers II,Service C,Low,High,High,Closed,Critical,2025-01-08T20:46:01.000000,Wednesday,2025-01-09T03:46:01.000000,2025-01-09T16:46:01.000000,2
CHG-0000024,Update API gateway rules for new service endpoints,Hardware,Neo,Neo,Matrix,Service B,Medium,High,High,Closed,High,2025-01-09T23:57:02.000000,Thursday,2025-01-10T05:57:02.000000,2025-01-11T02:57:02.000000,0
CHG-0000025,Deploy hotfix for production application issue,Failure,Jack Sparrow,Jack Sparrow,Matrix,Service E,Low,High,High,Closed,Low,2025-01-09T12:55:47.000000,Thursday,2025-01-09T16:55:47.000000,2025-01-10T14:55:47.000000,1
CHG-0000026,Implement new proxy configuration for internet access,Data,Shang Chi,Shang Chi,Avengers II,Service E,Medium,Medium,Medium,Closed,High,2025-01-09T17:24:30.000000,Thursday,2025-01-09T21:24:30.000000,2025-01-10T11:24:30.000000,4
CHG-0000027,Upgrade operating system on middleware servers,Facilities,Shang Chi,Shang Chi,Avengers II,Service D,High,High,High,Closed,Medium,2025-01-09T23:50:37.000000,Thursday,2025-01-10T07:50:37.000000,2025-01-11T14:50:37.000000,0
CHG-0000028,Deploy new version of mobile banking API,Access,Spiderman,Spiderman,Avengers II,Service B,Medium,Low,High,Closed,Medium,2025-01-10T01:47:03.000000,Friday,2025-01-10T05:47:03.000000,2025-01-11T02:47:03.000000,0
CHG-0000029,Change time synchronization settings for servers,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service E,High,Medium,High,Closed,High,2025-01-10T09:18:20.000000,Friday,2025-01-10T11:18:20.000000,2025-01-10T20:18:20.000000,5
CHG-0000030,Change DHCP scope settings for office network,Software,Loki,Loki,Avengers,Service E,Low,Low,Medium,Closed,Medium,2025-01-11T05:40:08.000000,Saturday,2025-01-11T07:40:08.000000,2025-01-11T13:40:08.000000,3
CHG-0000031,Change time synchronization settings for servers,Complaint,Hulk,Hulk,Avengers,Service D,Medium,Low,High,Closed,Medium,2025-01-11T10:32:41.000000,Saturday,2025-01-11T13:32:41.000000,2025-01-12T10:32:41.000000,5
CHG-0000032,Reconfigure service monitoring checks for new URLs,Software,Spiderman,Spiderman,Avengers II,Service E,High,Low,Medium,Closed,Critical,2025-01-11T23:24:20.000000,Saturday,2025-01-12T02:24:20.000000,2025-01-12T21:24:20.000000,4
CHG-0000033,Implement new proxy configuration for internet access,Facilities,Spiderman,Spiderman,Avengers II,Service D,High,Low,Low,Closed,High,2025-01-12T03:53:14.000000,Sunday,2025-01-12T05:53:14.000000,2025-01-12T11:53:14.000000,2
CHG-0000034,Modify backup retention period for file shares,Data,Doctor Strange,Doctor Strange,Avengers II,Service A,Medium,Low,Medium,In Progress,Medium,2025-01-12T11:36:04.000000,Sunday,2025-01-12T14:36:04.000000,,5
CHG-0000035,Reconfigure backup schedule for critical databases,Failure,Spiderman,Spiderman,Avengers II,Service E,Low,High,Medium,Closed,Medium,2025-01-13T18:23:49.000000,Monday,2025-01-13T22:23:49.000000,2025-01-15T04:23:49.000000,0
CHG-0000036,Apply configuration changes to intrusion detection system,Access,Captain America,Captain America,Avengers,Service D,Medium,Medium,High,Closed,Critical,2025-01-13T07:30:31.000000,Monday,2025-01-13T13:30:31.000000,2025-01-13T23:30:31.000000,3
CHG-0000037,Update API gateway rules for new service endpoints,Complaint,Thor,Thor,Avengers,Service C,High,Low,Low,Closed,Medium,2025-01-13T06:41:50.000000,Monday,2025-01-13T10:41:50.000000,2025-01-14T12:41:50.000000,5
CHG-0000038,Reconfigure service monitoring checks for new URLs,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service B,Low,Low,Medium,Closed,Medium,2025-01-13T01:51:18.000000,Monday,2025-01-13T09:51:18.000000,2025-01-13T11:51:18.000000,3
CHG-0000039,Configure new high-availability cluster for database,Network,Iron Man,Iron Man,Avengers,Service B,High,High,Low,Closed,High,2025-01-14T12:43:08.000000,Tuesday,2025-01-14T19:43:08.000000,2025-01-15T00:43:08.000000,5
CHG-0000040,Implement role-based access control for application,Network,Spiderman,Spiderman,Avengers II,Service D,Low,Low,High,Closed,High,2025-01-14T18:54:16.000000,Tuesday,2025-01-14T23:54:16.000000,2025-01-15T08:54:16.000000,4
CHG-0000041,Update API gateway rules for new service endpoints,Complaint,Spiderman,Spiderman,Avengers II,Service B,Low,High,Medium,Closed,High,2025-01-14T04:16:51.000000,Tuesday,2025-01-14T10:16:51.000000,2025-01-15T01:16:51.000000,5
CHG-0000042,Deploy new version of mobile banking API,Complaint,Loki,Loki,Avengers,Service C,Low,Low,High,Closed,High,2025-01-15T23:04:20.000000,Wednesday,2025-01-16T02:04:20.000000,2025-01-16T12:04:20.000000,4
CHG-0000043,Apply configuration changes to intrusion detection system,Network,Thor,Thor,Avengers,Service D,Low,Medium,High,Closed,Medium,2025-01-15T06:43:29.000000,Wednesday,2025-01-15T08:43:29.000000,2025-01-16T20:43:29.000000,5
CHG-0000044,Update DNS records for application hostname change,Network,Jack Sparrow,Jack Sparrow,Matrix,Service C,Low,High,Low,Closed,Medium,2025-01-16T10:15:44.000000,Thursday,2025-01-16T12:15:44.000000,2025-01-17T11:15:44.000000,4
CHG-0000045,Apply configuration changes to intrusion detection system,Network,Captain America,Captain America,Avengers,Service D,Medium,Medium,Low,Closed,Low,2025-01-16T06:56:23.000000,Thursday,2025-01-16T08:56:23.000000,2025-01-17T20:56:23.000000,4
CHG-0000046,Modify backup retention period for file shares,Failure,Spiderman,Spiderman,Avengers II,Service B,High,High,Medium,Closed,Medium,2025-01-17T07:05:23.000000,Friday,2025-01-17T10:05:23.000000,2025-01-18T11:05:23.000000,2
CHG-0000047,Modify backup retention period for file shares,Data,John Wick,John Wick,Matrix,Service B,Low,Medium,High,Closed,High,2025-01-17T00:10:09.000000,Friday,2025-01-17T05:10:09.000000,2025-01-17T12:10:09.000000,1
CHG-0000048,Introduce new email disclaimer for outgoing messages,Software,Hulk,Hulk,Avengers,Service E,High,Medium,Medium,Closed,Medium,2025-01-17T19:12:18.000000,Friday,2025-01-17T21:12:18.000000,2025-01-18T09:12:18.000000,0
CHG-0000049,Update API gateway rules for new service endpoints,Data,John Cena,John Cena,Matrix,Service C,Medium,Medium,Low,Closed,Critical,2025-01-17T14:51:34.000000,Friday,2025-01-17T21:51:34.000000,2025-01-18T10:51:34.000000,0
CHG-0000050,Implement new password policy across domain,Data,Captain Marvel,Captain Marvel,Avengers II,Service A,Medium,Medium,Medium,Closed,High,2025-01-17T01:06:34.000000,Friday,2025-01-17T05:06:34.000000,2025-01-18T08:06:34.000000,0
CHG-0000051,Decommission obsolete virtual machines,Access,Captain Marvel,Captain Marvel,Avengers II,Service D,Low,Low,High,Closed,Low,2025-01-18T10:07:25.000000,Saturday,2025-01-18T14:07:25.000000,2025-01-20T01:07:25.000000,5
CHG-0000052,Change load balancer configuration for improved failover,Access,Doctor Strange,Doctor Strange,Avengers II,Service B,Low,High,High,Closed,Medium,2025-01-18T09:14:03.000000,Saturday,2025-01-18T17:14:03.000000,2025-01-19T23:14:03.000000,1
CHG-0000053,Enable multi-factor authentication for VPN users,Hardware,Iron Man,Iron Man,Avengers,Service A,High,Low,Low,Closed,Medium,2025-01-18T09:44:20.000000,Saturday,2025-01-18T17:44:20.000000,2025-01-19T00:44:20.000000,2
CHG-0000054,Modify service account permissions for application,Facilities,Shang Chi,Shang Chi,Avengers II,Service C,Low,Medium,Medium,Closed,High,2025-01-18T04:50:23.000000,Saturday,2025-01-18T09:50:23.000000,2025-01-19T04:50:23.000000,1
CHG-0000055,Implement new software deployment package for endpoints,Hardware,Iron Man,Iron Man,Avengers,Service B,High,Low,Medium,Closed,High,2025-01-19T15:59:32.000000,Sunday,2025-01-19T23:59:32.000000,2025-01-20T01:59:32.000000,2
CHG-0000056,Deploy new version of endpoint management agent,Network,Thor,Thor,Avengers,Service E,Low,Low,High,Closed,Low,2025-01-19T05:33:56.000000,Sunday,2025-01-19T13:33:56.000000,2025-01-20T19:33:56.000000,0
CHG-0000057,Upgrade operating system on middleware servers,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service E,High,Medium,Low,Closed,Medium,2025-01-19T16:20:17.000000,Sunday,2025-01-19T18:20:17.000000,2025-01-20T15:20:17.000000,0
CHG-0000058,Change print server configuration for new printers,Complaint,Batman,Batman,Matrix,Service C,High,Low,Low,Closed,Medium,2025-01-19T07:16:45.000000,Sunday,2025-01-19T10:16:45.000000,2025-01-19T15:16:45.000000,3
CHG-0000059,Update DNS records for application hostname change,Software,Batman,Batman,Matrix,Service A,Medium,Medium,Low,Closed,Medium,2025-01-20T04:58:46.000000,Monday,2025-01-20T10:58:46.000000,2025-01-20T21:58:46.000000,3
