Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag
CR-1,Critical issue: No connectivity to company-hosted Microsoft Teams instances (Germany Office Gateway).,Access,Hulk,Hulk,Avengers,Service B,In Progress,Medium,High,High,High,2025-01-01T06:21:39.000000,2025-01-01T11:21:39.000000,,1,3,Wednesday,0
CR-2,No access to intranet resources due to SSL certificate expiration.,Data,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,Critical,High,High,2025-01-01T18:05:24.000000,2025-01-02T02:05:24.000000,2025-01-02T13:05:24.000000,0,4,Wednesday,1
CR-3,Critical issue: No connectivity to company-hosted Microsoft Teams instances (Germany Office Gateway).,Facilities,Neo,Neo,Matrix,Service C,On Hold,Low,Medium,Medium,Medium,2025-01-01T19:50:58.000000,,,0,1,Wednesday,1
CR-4,Connection timeout between SWSHK0019A and RTSHK0018 after DMZ firewall patch.,Facilities,Iron Man,Iron Man,Avengers,Service B,Closed,Low,High,Medium,Medium,2025-01-01T08:45:59.000000,2025-01-01T13:45:59.000000,2025-01-01T19:45:59.000000,0,2,Wednesday,1
CR-5,No access to intranet resources due to SSL certificate expiration.,Data,Thor,Thor,Avengers,Service B,Closed,High,Critical,High,High,2025-01-01T00:52:38.000000,2025-01-01T04:52:38.000000,2025-01-01T12:52:38.000000,0,5,Wednesday,1
CR-6,Frequent HTTP error 502 bad gateway observed on public-facing APIs.,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,Critical,High,High,2025-01-01T09:48:02.000000,2025-01-01T15:48:02.000000,2025-01-01T19:48:02.000000,1,3,Wednesday,0
CR-7,VulMgt: Fortinet / Critical Vulnerability in FortiOS SSL VPN CVE-2025-50987 / PSIRT Dec.2025.,Software,Neo,Neo,Matrix,Service C,Closed,Medium,Critical,High,High,2025-01-01T09:34:30.000000,2025-01-01T17:34:30.000000,2025-01-02T04:34:30.000000,0,3,Wednesday,1
CR-8,Disk space alert: System logs consuming 98% of allocated storage on SV370920:DataStore01.,Software,Thor,Thor,Avengers,Service A,Closed,Low,High,Medium,Medium,2025-01-01T01:09:00.000000,2025-01-01T09:09:00.000000,2025-01-02T07:09:00.000000,0,2,Wednesday,1
CR-9,Communication breakdown between IMK and DCN locations due to routing rule misconfiguration.,Failure,Captain America,Captain America,Avengers,Service A,Closed,High,Critical,High,High,2025-01-01T00:48:26.000000,2025-01-01T04:48:26.000000,2025-01-01T10:48:26.000000,1,4,Wednesday,0
CR-10,Root cause analysis and follow-up to PRB0058244 - Internal proxy overload impacting corporate web traffic.,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Medium,Medium,Low,2025-01-01T03:23:27.000000,2025-01-01T07:23:27.000000,2025-01-02T00:23:27.000000,0,1,Wednesday,1
