Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day
SR-0000001,Create subdomain for new departmental website launch.,Software,Spiderman,Spiderman,Avengers II,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-01T20:45:02.000000,2025-01-02T01:45:02.000000,2025-01-02T20:45:02.000000,5,Wednesday
SR-0000002,Install Adobe Creative Suite on workstation for design team.,Hardware,Hulk,Hulk,Avengers,Service B,Closed,Low,High,High,Low,2025-01-01T13:12:53.000000,2025-01-01T16:12:53.000000,2025-01-02T13:12:53.000000,2,Wednesday
SR-0000003,Troubleshoot application access issues related to role change.,Failure,Iron Man,Iron Man,Avengers,Service C,New,High,Critical,High,Medium,2025-01-01T13:27:29.000000,,,0,Wednesday
SR-0000004,Install licensed Microsoft Visio on a department computer.,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T14:06:11.000000,2025-01-01T16:06:11.000000,2025-01-01T19:06:11.000000,3,Wednesday
SR-0000005,User asking for permissions to install additional software.,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-01-01T11:04:27.000000,2025-01-01T15:04:27.000000,2025-01-02T17:04:27.000000,4,Wednesday
SR-0000006,Provisioning of VPN access for third-party vendor consultants.,Software,Loki,Loki,Avengers,Service A,In Progress,Low,High,High,High,2025-01-01T20:51:01.000000,2025-01-02T00:51:01.000000,,3,Wednesday
SR-0000007,Request to reset password for employee account.,Access,Loki,Loki,Avengers,Service A,New,Medium,High,High,Medium,2025-01-01T20:53:32.000000,,,4,Wednesday
SR-0000008,Request to create test environment for application testing.,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,Low,Low,Low,2025-01-01T22:14:05.000000,2025-01-02T05:14:05.000000,2025-01-04T11:14:05.000000,2,Wednesday
SR-0000009,Request to add new printer to network for HR department.,Failure,Captain Marvel,Captain Marvel,Avengers II,Service C,On Hold,High,High,Medium,Medium,2025-01-01T23:28:38.000000,,,1,Wednesday
SR-0000010,Request to access internal SharePoint site for the Finance department.,Failure,Loki,Loki,Avengers,Service B,New,Low,High,High,High,2025-01-01T15:58:35.000000,,,5,Wednesday
SR-0000011,Configuration update needed for internal voice gateway routing.,Hardware,Hulk,Hulk,Avengers,Service C,Closed,High,Critical,High,Medium,2025-01-01T14:59:37.000000,2025-01-01T21:59:37.000000,2025-01-01T22:59:37.000000,5,Wednesday
SR-0000012,Enable multi-factor authentication for remote developers.,Failure,Loki,Loki,Avengers,Service C,New,High,Critical,High,Medium,2025-01-01T04:03:37.000000,,,4,Wednesday
SR-0000013,Change access rights on shared folder for team lead.,Data,Hulk,Hulk,Avengers,Service B,Closed,Low,Low,Low,Low,2025-01-01T06:38:18.000000,2025-01-01T09:38:18.000000,2025-01-03T20:38:18.000000,0,Wednesday
SR-0000014,Request to delete unused virtual machines in non-production environment.,Access,Shang Chi,Shang Chi,Avengers II,Service B,New,Low,High,Medium,Medium,2025-01-01T21:29:32.000000,,,0,Wednesday
SR-0000015,Configuration update needed for internal voice gateway routing.,Network,John Wick,John Wick,Matrix,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-01T12:23:23.000000,2025-01-01T20:23:23.000000,2025-01-02T15:23:23.000000,2,Wednesday
SR-0000016,Provisioning of VPN access for third-party vendor consultants.,Software,Captain America,Captain America,Avengers,Service A,Closed,Low,High,High,High,2025-01-01T20:12:21.000000,2025-01-01T22:12:21.000000,2025-01-02T21:12:21.000000,3,Wednesday
SR-0000017,Configure alerts for reporting dashboard thresholds.,Facilities,Neo,Neo,Matrix,Service A,Closed,Low,Low,Low,Low,2025-01-01T07:31:54.000000,2025-01-01T12:31:54.000000,2025-01-03T08:31:54.000000,0,Wednesday
SR-0000018,Update public holiday calendar in corporate Outlook accounts.,Software,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,High,High,High,2025-01-01T15:17:52.000000,2025-01-01T23:17:52.000000,2025-01-02T23:17:52.000000,2,Wednesday
SR-0000019,Upgrade virtual machine specs for training platform.,Data,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,High,Medium,High,2025-01-01T11:55:00.000000,2025-01-01T18:55:00.000000,2025-01-02T09:55:00.000000,5,Wednesday
SR-0000020,Provisioning of VPN access for third-party vendor consultants.,Failure,Doctor Strange,Doctor Strange,Avengers II,Service A,New,High,Medium,Medium,Medium,2025-01-01T22:47:05.000000,,,2,Wednesday
SR-0000021,Request to create and configure backup jobs for departmental database.,Access,Loki,Loki,Avengers,Service C,Closed,Medium,High,Medium,Medium,2025-01-01T09:26:17.000000,2025-01-01T12:26:17.000000,2025-01-02T07:26:17.000000,4,Wednesday
SR-0000022,Request for secure deletion of files on retired desktops.,Facilities,Hulk,Hulk,Avengers,Service A,New,Medium,Medium,Low,Medium,2025-01-01T16:21:00.000000,,,2,Wednesday
SR-0000023,Request to delete unused virtual machines in non-production environment.,Facilities,Loki,Loki,Avengers,Service A,New,Medium,High,Medium,High,2025-01-01T20:11:11.000000,,,3,Wednesday
SR-0000024,Activate mobile application access for workflow approvals.,Failure,Hulk,Hulk,Avengers,Service B,Closed,Low,High,High,Medium,2025-01-01T00:18:29.000000,2025-01-01T04:18:29.000000,2025-01-01T18:18:29.000000,2,Wednesday
SR-0000025,Request to create container image repository for DevOps team.,Access,Doctor Strange,Doctor Strange,Avengers II,Service C,On Hold,Low,Medium,Medium,Medium,2025-01-01T06:06:44.000000,,,3,Wednesday
SR-0000026,Install Adobe Creative Suite on workstation for design team.,Hardware,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-01T20:09:55.000000,2025-01-01T22:09:55.000000,2025-01-02T08:09:55.000000,5,Wednesday
SR-0000027,Request to enable remote access to on-site servers.,Facilities,Neo,Neo,Matrix,Service A,Closed,Low,Low,Low,Low,2025-01-01T20:18:44.000000,2025-01-01T22:18:44.000000,2025-01-03T20:18:44.000000,3,Wednesday
SR-0000028,Install licensed Microsoft Visio on a department computer.,Hardware,Batman,Batman,Matrix,Service C,Closed,High,Medium,Low,Medium,2025-01-01T09:40:19.000000,2025-01-01T14:40:19.000000,2025-01-02T11:40:19.000000,4,Wednesday
SR-0000029,Request to reset password for employee account.,Access,John Wick,John Wick,Matrix,Service A,Closed,Medium,High,Medium,High,2025-01-01T20:10:02.000000,2025-01-02T03:10:02.000000,2025-01-03T02:10:02.000000,4,Wednesday
SR-0000030,Upgrade virtual machine specs for training platform.,Network,Thor,Thor,Avengers,Service C,Closed,Medium,Medium,Low,Medium,2025-01-01T10:52:39.000000,2025-01-01T16:52:39.000000,2025-01-03T01:52:39.000000,3,Wednesday
SR-0000031,Request to create and configure backup jobs for departmental database.,Facilities,Hulk,Hulk,Avengers,Service C,Closed,Medium,Medium,Medium,Low,2025-01-01T20:45:03.000000,2025-01-01T23:45:03.000000,2025-01-03T05:45:03.000000,5,Wednesday
SR-0000032,Change access rights on shared folder for team lead.,Software,Captain America,Captain America,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-01T22:07:36.000000,2025-01-02T04:07:36.000000,2025-01-02T10:07:36.000000,3,Wednesday
SR-0000033,Request to add new printer to network for HR department.,Data,Captain Marvel,Captain Marvel,Avengers II,Service C,New,Low,Critical,High,High,2025-01-01T10:24:58.000000,,,2,Wednesday
SR-0000034,Upgrade workstation RAM for improved video editing performance.,Access,Hulk,Hulk,Avengers,Service B,New,High,Medium,Medium,Medium,2025-01-01T22:18:37.000000,,,1,Wednesday
SR-0000035,Request to create a new distribution list for the Marketing team.,Access,Thor,Thor,Avengers,Service A,Closed,Low,High,High,Medium,2025-01-01T16:18:37.000000,2025-01-01T20:18:37.000000,2025-01-02T04:18:37.000000,4,Wednesday
SR-0000036,Update employee badge photo in internal directory.,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T08:32:00.000000,2025-01-01T16:32:00.000000,2025-01-02T06:32:00.000000,1,Wednesday
SR-0000037,Request to reset password for employee account.,Failure,Neo,Neo,Matrix,Service A,In Progress,Low,Low,Low,Low,2025-01-01T22:53:23.000000,2025-01-02T04:53:23.000000,,2,Wednesday
SR-0000038,Request to access internal SharePoint site for the Finance department.,Network,Batman,Batman,Matrix,Service A,Closed,Medium,Critical,High,High,2025-01-01T11:17:13.000000,2025-01-01T14:17:13.000000,2025-01-01T20:17:13.000000,4,Wednesday
SR-0000039,Install licensed Microsoft Visio on a department computer.,Complaint,Thor,Thor,Avengers,Service A,Closed,High,Low,Low,Low,2025-01-01T02:19:46.000000,2025-01-01T05:19:46.000000,2025-01-03T20:19:46.000000,5,Wednesday
SR-0000040,Document retention policy modification for compliance purposes.,Failure,Thor,Thor,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-01T08:23:26.000000,2025-01-01T15:23:26.000000,2025-01-01T18:23:26.000000,3,Wednesday
SR-0000041,Request for temporary guest access to internal intranet services.,Complaint,Captain America,Captain America,Avengers,Service A,New,Medium,Critical,High,High,2025-01-01T08:42:55.000000,,,4,Wednesday
SR-0000042,Request to create a new distribution list for the Marketing team.,Access,Batman,Batman,Matrix,Service C,Closed,Medium,Low,Low,Low,2025-01-01T22:19:32.000000,2025-01-02T03:19:32.000000,2025-01-05T02:19:32.000000,5,Wednesday
SR-0000043,Add two new access points to the office Wi-Fi network.,Failure,Iron Man,Iron Man,Avengers,Service A,New,High,High,High,High,2025-01-01T02:44:00.000000,,,2,Wednesday
SR-0000044,User asking for permissions to install additional software.,Access,Thor,Thor,Avengers,Service A,Closed,High,High,Medium,Medium,2025-01-01T18:32:13.000000,2025-01-02T01:32:13.000000,2025-01-02T16:32:13.000000,0,Wednesday
SR-0000045,Request to create container image repository for DevOps team.,Facilities,Iron Man,Iron Man,Avengers,Service B,In Progress,Medium,Medium,Low,Medium,2025-01-01T05:53:43.000000,2025-01-01T09:53:43.000000,,4,Wednesday
SR-0000046,Backup and restore files deleted by mistake on shared drive.,Data,Iron Man,Iron Man,Avengers,Service B,Closed,High,High,High,High,2025-01-01T22:49:54.000000,2025-01-02T00:49:54.000000,2025-01-02T21:49:54.000000,4,Wednesday
SR-0000047,Upgrade Oracle database version to meet system requirements.,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,High,Medium,Medium,Low,2025-01-01T11:29:57.000000,2025-01-01T17:29:57.000000,2025-01-02T07:29:57.000000,3,Wednesday
SR-0000048,Create custom email signature for company branding.,Hardware,Captain America,Captain America,Avengers,Service A,New,Medium,Medium,Medium,Medium,2025-01-01T18:54:21.000000,,,3,Wednesday
SR-0000049,Install Adobe Creative Suite on workstation for design team.,Failure,Batman,Batman,Matrix,Service B,Closed,Medium,Low,Low,Low,2025-01-01T17:52:43.000000,2025-01-01T23:52:43.000000,2025-01-03T03:52:43.000000,4,Wednesday
SR-0000050,Install Adobe Creative Suite on workstation for design team.,Hardware,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-01T18:51:43.000000,2025-01-01T20:51:43.000000,2025-01-03T08:51:43.000000,3,Wednesday
SR-0000051,Request to install Python libraries on student laptops.,Data,Captain America,Captain America,Avengers,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-01T09:25:27.000000,2025-01-01T13:25:27.000000,2025-01-02T16:25:27.000000,4,Wednesday
SR-0000052,Request to reset password for employee account.,Data,Shang Chi,Shang Chi,Avengers II,Service C,In Progress,Medium,Critical,High,High,2025-01-01T15:07:42.000000,2025-01-01T20:07:42.000000,,1,Wednesday
SR-0000053,Re-enable accounts for recent employee returning after leave.,Failure,Iron Man,Iron Man,Avengers,Service C,New,Medium,High,High,Medium,2025-01-01T05:36:01.000000,,,2,Wednesday
SR-0000054,Provision external storage for graphics design project.,Software,Thor,Thor,Avengers,Service A,On Hold,High,Low,Low,Low,2025-01-01T07:01:47.000000,,,0,Wednesday
SR-0000055,Troubleshoot application access issues related to role change.,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,High,High,High,Medium,2025-01-01T06:10:11.000000,2025-01-01T13:10:11.000000,2025-01-02T04:10:11.000000,0,Wednesday
SR-0000056,Backup and restore files deleted by mistake on shared drive.,Hardware,John Cena,John Cena,Matrix,Service B,Closed,High,High,Medium,High,2025-01-01T06:35:01.000000,2025-01-01T08:35:01.000000,2025-01-02T02:35:01.000000,2,Wednesday
SR-0000057,Request to reset password for employee account.,Failure,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,Critical,High,High,2025-01-01T21:04:05.000000,2025-01-02T02:04:05.000000,2025-01-02T12:04:05.000000,1,Wednesday
SR-0000058,Provisioning of VPN access for third-party vendor consultants.,Network,Loki,Loki,Avengers,Service A,Closed,High,High,High,Medium,2025-01-01T08:20:43.000000,2025-01-01T11:20:43.000000,2025-01-01T23:20:43.000000,0,Wednesday
SR-0000059,Grant access to restricted database for data analytics intern.,Access,Spiderman,Spiderman,Avengers II,Service B,New,Low,Medium,Low,Medium,2025-01-01T14:55:40.000000,,,4,Wednesday
SR-0000060,Request to access internal SharePoint site for the Finance department.,Failure,Captain America,Captain America,Avengers,Service C,In Progress,High,Critical,High,High,2025-01-01T00:01:04.000000,2025-01-01T03:01:04.000000,,1,Wednesday
SR-0000061,Request to create test environment for application testing.,Access,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Medium,High,High,Medium,2025-01-01T21:55:16.000000,2025-01-02T01:55:16.000000,2025-01-02T17:55:16.000000,3,Wednesday
SR-0000062,Request to create test environment for application testing.,Network,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-01T16:05:02.000000,2025-01-01T18:05:02.000000,2025-01-01T20:05:02.000000,2,Wednesday
SR-0000063,Request to create container image repository for DevOps team.,Access,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,Medium,Medium,Medium,2025-01-01T17:02:09.000000,2025-01-01T21:02:09.000000,2025-01-02T19:02:09.000000,0,Wednesday
SR-0000064,Request to enable remote access to on-site servers.,Network,Hulk,Hulk,Avengers,Service B,In Progress,Medium,Medium,Medium,Medium,2025-01-01T16:27:18.000000,2025-01-01T22:27:18.000000,,4,Wednesday
SR-0000065,Upgrade virtual machine specs for training platform.,Data,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Low,Medium,Medium,Medium,2025-01-01T00:37:16.000000,2025-01-01T06:37:16.000000,2025-01-02T03:37:16.000000,0,Wednesday
SR-0000066,Request to install Python libraries on student laptops.,Network,Shang Chi,Shang Chi,Avengers II,Service A,New,High,Low,Low,Low,2025-01-01T02:53:11.000000,,,2,Wednesday
SR-0000067,Upgrade virtual machine specs for training platform.,Software,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Critical,High,Medium,2025-01-01T14:35:15.000000,2025-01-01T19:35:15.000000,2025-01-01T22:35:15.000000,1,Wednesday
SR-0000068,Request to move group mailbox ownership to new manager.,Software,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,High,Medium,High,2025-01-01T01:39:32.000000,2025-01-01T07:39:32.000000,2025-01-01T13:39:32.000000,3,Wednesday
SR-0000069,Request to create test environment for application testing.,Hardware,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,Low,Low,Low,2025-01-01T15:12:56.000000,2025-01-01T19:12:56.000000,2025-01-03T09:12:56.000000,4,Wednesday
SR-0000070,Request for extended quota on shared email inbox.,Facilities,Hulk,Hulk,Avengers,Service B,Closed,Low,High,High,Medium,2025-01-01T05:24:56.000000,2025-01-01T09:24:56.000000,2025-01-02T02:24:56.000000,5,Wednesday
SR-0000071,Request to adjust permissions on shared inbox handling invoices.,Access,Thor,Thor,Avengers,Service A,New,High,Critical,High,High,2025-01-01T14:34:54.000000,,,1,Wednesday
SR-0000072,Extend mailbox retention policy for legal department emails.,Software,Thor,Thor,Avengers,Service B,New,Medium,Critical,High,Medium,2025-01-01T17:37:28.000000,,,4,Wednesday
SR-0000073,Request for temporary guest access to internal intranet services.,Data,Doctor Strange,Doctor Strange,Avengers II,Service B,New,Low,High,High,Medium,2025-01-01T15:44:02.000000,,,1,Wednesday
SR-0000074,Upgrade workstation RAM for improved video editing performance.,Network,Loki,Loki,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T02:10:58.000000,2025-01-01T10:10:58.000000,2025-01-01T21:10:58.000000,2,Wednesday
SR-0000075,Update public holiday calendar in corporate Outlook accounts.,Hardware,Captain America,Captain America,Avengers,Service B,Closed,High,Critical,High,High,2025-01-01T18:07:34.000000,2025-01-02T00:07:34.000000,2025-01-02T11:07:34.000000,3,Wednesday
SR-0000076,Request to create container image repository for DevOps team.,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-01T05:23:24.000000,2025-01-01T09:23:24.000000,2025-01-02T20:23:24.000000,3,Wednesday
SR-0000077,Install licensed Microsoft Visio on a department computer.,Facilities,Thor,Thor,Avengers,Service C,Closed,Medium,Low,Low,Low,2025-01-01T04:42:08.000000,2025-01-01T12:42:08.000000,2025-01-04T02:42:08.000000,2,Wednesday
SR-0000078,Install Adobe Creative Suite on workstation for design team.,Complaint,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,High,Medium,High,2025-01-01T11:54:01.000000,2025-01-01T13:54:01.000000,2025-01-02T05:54:01.000000,1,Wednesday
SR-0000079,Request to move group mailbox ownership to new manager.,Software,Jack Sparrow,Jack Sparrow,Matrix,Service A,New,Medium,Low,Low,Low,2025-01-01T16:11:29.000000,,,0,Wednesday
SR-0000080,Configuration update needed for internal voice gateway routing.,Data,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Critical,High,High,2025-01-01T22:34:36.000000,2025-01-02T05:34:36.000000,2025-01-02T15:34:36.000000,0,Wednesday
SR-0000081,Create custom email signature for company branding.,Network,Hulk,Hulk,Avengers,Service C,Closed,Medium,High,Medium,High,2025-01-01T08:34:00.000000,2025-01-01T13:34:00.000000,2025-01-01T22:34:00.000000,0,Wednesday
SR-0000082,Provisioning of VPN access for third-party vendor consultants.,Software,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Critical,High,High,2025-01-01T07:24:59.000000,2025-01-01T15:24:59.000000,2025-01-02T03:24:59.000000,2,Wednesday
