Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day
SR-0000001,Request laptop docking station setup,Failure,Thor,Thor,Avengers,Service C,Closed,High,Medium,Medium,Low,2025-01-01T09:01:54.000000,2025-01-01T16:01:54.000000,2025-01-03T00:01:54.000000,1,Wednesday
SR-0000002,Request new role assignment in CRM system,Network,Jack Sparrow,Jack Sparrow,Matrix,Service A,In Progress,Medium,High,High,High,2025-01-01T18:09:57.000000,2025-01-01T22:09:57.000000,,5,Wednesday
SR-0000003,Request change of default language in applications,Hardware,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Critical,High,Medium,2025-01-01T18:41:12.000000,2025-01-01T20:41:12.000000,2025-01-02T00:41:12.000000,3,Wednesday
SR-0000004,Request setup of new workstation at office desk,Software,John Wick,John Wick,Matrix,Service B,Closed,Medium,Low,Low,Low,2025-01-01T13:33:01.000000,2025-01-01T19:33:01.000000,2025-01-04T09:33:01.000000,1,Wednesday
SR-0000005,Request access to internal SharePoint site,Access,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-01T18:59:08.000000,2025-01-01T20:59:08.000000,2025-01-02T07:59:08.000000,3,Wednesday
SR-0000006,Request new headset for VoIP phone,Failure,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,Critical,High,High,2025-01-01T05:45:11.000000,2025-01-01T07:45:11.000000,2025-01-01T13:45:11.000000,0,Wednesday
SR-0000007,Request new collaboration space in Teams,Access,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,High,High,Medium,2025-01-01T04:50:44.000000,2025-01-01T07:50:44.000000,2025-01-02T04:50:44.000000,5,Wednesday
SR-0000008,Request access to remote desktop environment,Software,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,Medium,Medium,Medium,2025-01-01T07:40:59.000000,2025-01-01T11:40:59.000000,2025-01-02T16:40:59.000000,1,Wednesday
SR-0000009,Request additional monitor for workstation,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,Medium,Low,Medium,2025-01-01T16:55:10.000000,2025-01-01T20:55:10.000000,2025-01-02T11:55:10.000000,3,Wednesday
SR-0000010,Request access to reporting dashboard,Access,Loki,Loki,Avengers,Service C,New,High,Critical,High,High,2025-01-01T21:55:40.000000,,,4,Wednesday
SR-0000011,Request creation of new Active Directory account,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,High,High,High,2025-01-01T19:59:12.000000,2025-01-01T21:59:12.000000,2025-01-02T17:59:12.000000,3,Wednesday
SR-0000012,Request configuration of email on mobile device,Network,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T04:59:02.000000,2025-01-01T12:59:02.000000,2025-01-02T00:59:02.000000,4,Wednesday
SR-0000013,Request laptop docking station setup,Software,John Cena,John Cena,Matrix,Service A,Closed,Low,High,Medium,Medium,2025-01-01T01:37:37.000000,2025-01-01T07:37:37.000000,2025-01-02T01:37:37.000000,5,Wednesday
SR-0000014,Request additional monitor for workstation,Failure,Thor,Thor,Avengers,Service C,Closed,Low,Low,Low,Low,2025-01-01T13:28:38.000000,2025-01-01T20:28:38.000000,2025-01-04T19:28:38.000000,4,Wednesday
SR-0000015,Request configuration of Teams/meeting room equipment,Access,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,Critical,High,High,2025-01-01T22:51:02.000000,2025-01-02T05:51:02.000000,2025-01-02T07:51:02.000000,3,Wednesday
SR-0000016,Request access to time-tracking system,Access,John Cena,John Cena,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-01-01T00:44:54.000000,2025-01-01T08:44:54.000000,2025-01-01T23:44:54.000000,3,Wednesday
SR-0000017,Request access to analytics platform,Hardware,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,High,High,High,2025-01-01T23:43:21.000000,2025-01-02T06:43:21.000000,2025-01-02T13:43:21.000000,2,Wednesday
SR-0000018,Request unblocking of email attachment type,Failure,Iron Man,Iron Man,Avengers,Service A,Closed,High,High,High,Medium,2025-01-01T08:19:56.000000,2025-01-01T15:19:56.000000,2025-01-02T11:19:56.000000,0,Wednesday
SR-0000019,Request whitelist of business website on web proxy,Failure,John Cena,John Cena,Matrix,Service C,Closed,Low,Low,Low,Low,2025-01-01T05:47:11.000000,2025-01-01T10:47:11.000000,2025-01-02T17:47:11.000000,2,Wednesday
SR-0000020,Request change of ownership for shared mailbox,Complaint,Thor,Thor,Avengers,Service A,Closed,Low,Low,Low,Low,2025-01-01T06:44:13.000000,2025-01-01T11:44:13.000000,2025-01-04T07:44:13.000000,0,Wednesday
SR-0000021,Request new laptop for employee onboarding,Data,Spiderman,Spiderman,Avengers II,Service B,Closed,Medium,Critical,High,Medium,2025-01-01T21:53:58.000000,2025-01-02T01:53:58.000000,2025-01-02T04:53:58.000000,0,Wednesday
SR-0000022,Request access to secure printing functionality,Complaint,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,High,High,High,2025-01-01T22:07:53.000000,2025-01-02T01:07:53.000000,2025-01-02T08:07:53.000000,5,Wednesday
SR-0000023,Request scheduled report subscription setup,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,2025-01-01T21:28:33.000000,2025-01-02T04:28:33.000000,2025-01-03T02:28:33.000000,3,Wednesday
SR-0000024,Request access to archived email data,Hardware,John Wick,John Wick,Matrix,Service A,Closed,High,High,Medium,High,2025-01-01T04:32:43.000000,2025-01-01T08:32:43.000000,2025-01-02T06:32:43.000000,5,Wednesday
SR-0000025,Request shared folder for cross-department project,Complaint,John Wick,John Wick,Matrix,Service B,Closed,Medium,High,High,Medium,2025-01-01T02:21:13.000000,2025-01-01T06:21:13.000000,2025-01-01T22:21:13.000000,5,Wednesday
SR-0000026,Request configuration of shared calendar for team,Hardware,Captain America,Captain America,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T03:12:33.000000,2025-01-01T10:12:33.000000,2025-01-01T12:12:33.000000,3,Wednesday
SR-0000027,Request addition to security group for application access,Software,John Wick,John Wick,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T13:30:36.000000,2025-01-01T19:30:36.000000,2025-01-02T12:30:36.000000,1,Wednesday
SR-0000028,Request new email distribution list creation,Data,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Medium,Low,Medium,2025-01-01T08:45:53.000000,2025-01-01T14:45:53.000000,2025-01-02T08:45:53.000000,5,Wednesday
SR-0000029,Request new network port activation at desk,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Critical,Medium,High,2025-01-01T12:52:16.000000,2025-01-01T15:52:16.000000,2025-01-01T22:52:16.000000,2,Wednesday
SR-0000030,Request update of contact details in IT systems,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,Critical,High,High,2025-01-01T18:06:39.000000,2025-01-01T20:06:39.000000,2025-01-01T22:06:39.000000,1,Wednesday
SR-0000031,Request MFA activation for user account,Facilities,Batman,Batman,Matrix,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-01T13:47:38.000000,2025-01-01T18:47:38.000000,2025-01-02T11:47:38.000000,3,Wednesday
