Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag
CR-1,Frequent errors in scheduled report generation processes,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,Low,Low,Low,2025-01-01T09:22:59.000000,2025-01-01T14:22:59.000000,2025-01-03T02:22:59.000000,0,0,Wednesday,1
CR-2,Scheduled batch jobs failing intermittently without clear error,Data,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Medium,Medium,Low,2025-01-01T11:10:36.000000,2025-01-01T13:10:36.000000,2025-01-02T07:10:36.000000,0,1,Wednesday,1
CR-3,Frequent issues with file version conflicts on shared drives,Failure,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Medium,Medium,Low,Medium,2025-01-01T05:24:33.000000,2025-01-01T09:24:33.000000,2025-01-02T07:24:33.000000,0,1,Wednesday,1
CR-4,Random system reboots on specific hardware model,Hardware,Loki,Loki,Avengers,Service A,Closed,Low,High,High,High,2025-01-01T17:56:46.000000,2025-01-02T01:56:46.000000,2025-01-02T17:56:46.000000,1,2,Wednesday,0
CR-5,Intermittent email delivery delays to external domains,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,Critical,High,Medium,2025-01-01T04:43:11.000000,2025-01-01T07:43:11.000000,2025-01-01T19:43:11.000000,0,3,Wednesday,1
CR-6,Intermittent email delivery delays to external domains,Access,Hulk,Hulk,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T15:38:17.000000,2025-01-01T21:38:17.000000,2025-01-02T06:38:17.000000,0,5,Wednesday,1
CR-7,Intermittent failures of web proxy authentication,Failure,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,Medium,Medium,Low,2025-01-01T10:48:26.000000,2025-01-01T13:48:26.000000,2025-01-02T06:48:26.000000,0,1,Wednesday,1
CR-8,Frequent account lockouts for multiple users,Software,Batman,Batman,Matrix,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-01T08:30:07.000000,2025-01-01T12:30:07.000000,2025-01-02T20:30:07.000000,0,1,Wednesday,1
CR-9,Intermittent VoIP call quality issues and audio dropouts,Software,Thor,Thor,Avengers,Service B,New,Low,Critical,High,High,2025-01-01T07:51:12.000000,,,0,5,Wednesday,1
CR-10,Random loss of mapped network drives on login,Failure,John Cena,John Cena,Matrix,Service B,Closed,Low,Low,Low,Low,2025-01-01T04:33:12.000000,2025-01-01T08:33:12.000000,2025-01-03T12:33:12.000000,1,0,Wednesday,0
CR-11,Scheduled batch jobs failing intermittently without clear error,Network,Loki,Loki,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-01T11:57:10.000000,2025-01-01T13:57:10.000000,2025-01-01T23:57:10.000000,0,5,Wednesday,1
CR-12,Unreliable backup completion for certain file shares,Failure,Captain America,Captain America,Avengers,Service B,Closed,Low,High,High,High,2025-01-01T12:35:33.000000,2025-01-01T20:35:33.000000,2025-01-02T05:35:33.000000,0,2,Wednesday,1
CR-13,Inconsistent behavior of multi-factor authentication prompts,Facilities,Thor,Thor,Avengers,Service C,Closed,Low,High,High,Medium,2025-01-01T23:07:51.000000,2025-01-02T04:07:51.000000,2025-01-02T16:07:51.000000,0,3,Wednesday,1
CR-14,Recurring high latency reported in video conferencing sessions,Access,Loki,Loki,Avengers,Service B,Closed,Medium,High,High,High,2025-01-01T23:02:30.000000,2025-01-02T06:02:30.000000,2025-01-03T02:02:30.000000,0,3,Wednesday,1
CR-15,Intermittent connectivity issues to cloud-hosted applications,Hardware,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-01T07:46:06.000000,2025-01-01T10:46:06.000000,2025-01-02T06:46:06.000000,0,2,Wednesday,1
CR-16,Recurring DNS resolution failures for internal hostnames,Failure,Thor,Thor,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T20:36:57.000000,2025-01-02T00:36:57.000000,2025-01-02T02:36:57.000000,1,3,Wednesday,0
CR-17,Random disconnections from database for application services,Access,Loki,Loki,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-01T10:46:00.000000,2025-01-01T17:46:00.000000,2025-01-02T02:46:00.000000,1,3,Wednesday,0
CR-18,Recurring problems with email calendar synchronization,Data,Loki,Loki,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-02T01:55:50.000000,2025-01-02T08:55:50.000000,2025-01-02T21:55:50.000000,1,1,Thursday,0
CR-19,Inconsistent application behavior after automated updates,Access,Neo,Neo,Matrix,Service B,Closed,High,High,High,High,2025-01-02T08:17:42.000000,2025-01-02T14:17:42.000000,2025-01-03T11:17:42.000000,0,3,Thursday,1
CR-20,Random disconnections from database for application services,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Medium,Low,Low,Low,2025-01-02T12:42:14.000000,2025-01-02T20:42:14.000000,2025-01-05T01:42:14.000000,0,1,Thursday,1
CR-21,Inconsistent permission errors on shared folders,Facilities,Hulk,Hulk,Avengers,Service B,Closed,Low,High,High,Medium,2025-01-02T07:50:10.000000,2025-01-02T14:50:10.000000,2025-01-03T03:50:10.000000,0,3,Thursday,1
CR-22,Random freezing of operating system on virtual desktops,Data,Captain America,Captain America,Avengers,Service A,Closed,Low,Medium,Low,Medium,2025-01-02T00:36:43.000000,2025-01-02T03:36:43.000000,2025-01-03T10:36:43.000000,0,1,Thursday,1
CR-23,Intermittent VoIP call quality issues and audio dropouts,Access,John Cena,John Cena,Matrix,Service B,On Hold,High,High,Medium,High,2025-01-02T03:55:05.000000,,,0,2,Thursday,1
CR-24,Intermittent failures of web proxy authentication,Facilities,Hulk,Hulk,Avengers,Service C,Closed,High,Medium,Medium,Medium,2025-01-02T07:33:58.000000,2025-01-02T15:33:58.000000,2025-01-03T22:33:58.000000,0,2,Thursday,1
CR-25,Frequent corruption of user profiles on shared workstations,Facilities,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-02T07:36:27.000000,2025-01-02T14:36:27.000000,2025-01-02T22:36:27.000000,1,5,Thursday,0
CR-26,Recurring printing failures for specific printer models,Network,Thor,Thor,Avengers,Service B,Closed,High,High,Medium,High,2025-01-02T06:27:23.000000,2025-01-02T10:27:23.000000,2025-01-03T10:27:23.000000,1,2,Thursday,0
CR-27,Unstable Wi-Fi coverage in specific office area,Access,Hulk,Hulk,Avengers,Service B,Closed,Low,High,High,High,2025-01-03T22:17:54.000000,2025-01-04T05:17:54.000000,2025-01-04T17:17:54.000000,0,3,Friday,1
CR-28,Inconsistent access to archived email system,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-03T06:18:36.000000,2025-01-03T12:18:36.000000,2025-01-04T14:18:36.000000,0,1,Friday,1
CR-29,Recurring time synchronization issues across servers,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-01-03T09:55:15.000000,2025-01-03T17:55:15.000000,2025-01-05T03:55:15.000000,0,1,Friday,1
CR-30,Inconsistent synchronization between production and reporting databases,Complaint,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,Low,Low,Low,2025-01-03T12:19:09.000000,2025-01-03T14:19:09.000000,2025-01-05T23:19:09.000000,0,1,Friday,1
CR-31,Frequent issues with file version conflicts on shared drives,Complaint,Captain America,Captain America,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-03T16:16:54.000000,2025-01-04T00:16:54.000000,2025-01-04T12:16:54.000000,0,4,Friday,1
CR-32,Frequent errors in scheduled report generation processes,Hardware,Iron Man,Iron Man,Avengers,Service B,Closed,High,Critical,High,High,2025-01-03T05:27:14.000000,2025-01-03T07:27:14.000000,2025-01-03T14:27:14.000000,0,3,Friday,1
CR-33,Frequent errors in scheduled report generation processes,Hardware,Thor,Thor,Avengers,Service C,Closed,High,Critical,High,High,2025-01-03T19:09:35.000000,2025-01-04T02:09:35.000000,2025-01-04T11:09:35.000000,0,5,Friday,1
CR-34,Inconsistent behavior of multi-factor authentication prompts,Complaint,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Medium,Medium,Low,2025-01-03T22:38:31.000000,2025-01-04T04:38:31.000000,2025-01-04T21:38:31.000000,0,1,Friday,1
CR-35,Intermittent network connectivity issues reported by multiple users,Complaint,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,Critical,High,High,2025-01-03T04:37:35.000000,2025-01-03T06:37:35.000000,2025-01-03T12:37:35.000000,0,3,Friday,1
CR-36,Intermittent failures of web proxy authentication,Software,Hulk,Hulk,Avengers,Service C,In Progress,Medium,High,High,High,2025-01-03T11:41:18.000000,2025-01-03T17:41:18.000000,,0,3,Friday,1
CR-37,Unexplained slow logon times for domain users,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,Critical,High,Medium,2025-01-04T04:13:59.000000,2025-01-04T06:13:59.000000,2025-01-04T14:13:59.000000,0,4,Saturday,1
CR-38,Recurring high latency reported in video conferencing sessions,Failure,Batman,Batman,Matrix,Service C,Closed,Low,High,High,High,2025-01-04T13:39:02.000000,2025-01-04T17:39:02.000000,2025-01-05T11:39:02.000000,0,3,Saturday,1
CR-39,Intermittent connectivity issues to cloud-hosted applications,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,High,Critical,High,High,2025-01-04T23:39:01.000000,2025-01-05T07:39:01.000000,2025-01-05T14:39:01.000000,0,3,Saturday,1
CR-40,Intermittent network connectivity issues reported by multiple users,Data,Captain Marvel,Captain Marvel,Avengers II,Service B,On Hold,High,High,Medium,High,2025-01-04T14:27:03.000000,,,1,3,Saturday,0
CR-41,Recurring disk space shortages on application servers,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-04T05:29:56.000000,2025-01-04T07:29:56.000000,2025-01-04T20:29:56.000000,0,2,Saturday,1
CR-42,Scheduled batch jobs failing intermittently without clear error,Failure,Batman,Batman,Matrix,Service A,On Hold,Medium,Medium,Low,Low,2025-01-04T10:03:02.000000,,,0,1,Saturday,1
CR-43,Intermittent failures when connecting to external partner systems,Access,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Low,Low,Low,Low,2025-01-04T14:59:11.000000,2025-01-04T18:59:11.000000,2025-01-07T16:59:11.000000,0,0,Saturday,1
CR-44,Intermittent authentication failures for single sign-on,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-01-04T14:28:01.000000,2025-01-04T20:28:01.000000,2025-01-05T09:28:01.000000,0,2,Saturday,1
CR-45,Intermittent email delivery delays to external domains,Data,Captain America,Captain America,Avengers,Service C,Closed,Low,High,Medium,Medium,2025-01-04T06:09:26.000000,2025-01-04T12:09:26.000000,2025-01-05T11:09:26.000000,0,3,Saturday,1
CR-46,Inconsistent application behavior after automated updates,Facilities,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,High,Medium,High,2025-01-04T20:32:12.000000,2025-01-05T00:32:12.000000,2025-01-05T11:32:12.000000,0,2,Saturday,1
