Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Reopen Zero Flag
CR-1,Unusual access pattern to customer data records,Facilities,Thor,Iron Man,Avengers,Service A,Closed,Low,Low,Medium,Medium,2025-01-01T14:47:48.000000,2025-01-01T23:41:57.000000,2025-01-02T08:26:22.000000,0,Wednesday,1
CR-2,Malicious JavaScript detected on visited webpage,Failure,Michal,Jan,Matrix,Service A,Closed,Medium,Low,High,Medium,2025-01-01T21:39:29.000000,2025-01-02T00:43:29.000000,2025-01-02T11:15:31.000000,1,Wednesday,0
CR-3,Malicious JavaScript detected on visited webpage,Data,Martin,Thor,Matrix,Service B,Closed,High,Low,High,High,2025-01-01T19:52:15.000000,2025-01-02T03:07:16.000000,2025-01-02T15:24:33.000000,1,Wednesday,0
CR-4,Email forwarding rule created without user knowledge,Complaint,Michal,Michal,Matrix,Service C,Closed,Low,Low,Low,Low,2025-01-01T09:57:13.000000,2025-01-01T16:28:27.000000,2025-01-03T12:39:42.000000,1,Wednesday,0
CR-5,Unusual administrative activity on domain controller,Software,Thor,Thor,Avengers,Service B,In Progress,Medium,Low,Medium,High,2025-01-01T17:55:51.000000,2025-01-01T20:44:49.000000,,0,Wednesday,1
CR-6,Unusual access pattern to customer data records,Data,Martin,Captain America,Matrix,Service A,Closed,High,Medium,High,High,2025-01-01T17:14:59.000000,2025-01-01T23:58:13.000000,2025-01-03T18:25:37.000000,1,Wednesday,0
CR-7,Blocked attempt to upload sensitive data to cloud storage,Hardware,Martin,Thor,Matrix,Service C,On Hold,Low,Medium,High,Low,2025-01-01T20:51:26.000000,,,1,Wednesday,0
CR-8,Blocked attempt to upload sensitive data to cloud storage,Software,Captain America,Michal,Avengers II,Service B,Closed,High,Medium,Medium,High,2025-01-01T21:55:33.000000,2025-01-01T23:31:46.000000,2025-01-03T09:57:52.000000,1,Wednesday,0
CR-9,Unexpected configuration change on security appliance,Data,Michal,Martin,Avengers II,Service C,Closed,High,Low,Low,High,2025-01-01T18:47:37.000000,2025-01-01T21:59:41.000000,2025-01-03T05:59:21.000000,0,Wednesday,1
CR-10,Unapproved external USB storage device connected,Failure,Michal,Martin,Avengers,Service A,Closed,Medium,Low,Low,High,2025-01-01T23:36:18.000000,2025-01-02T01:45:38.000000,2025-01-03T16:23:44.000000,0,Wednesday,1
CR-11,Unsupported remote desktop tool detected on endpoint,Failure,Jan,Peter,Matrix,Service A,Closed,Low,Low,Low,Medium,2025-01-01T05:14:49.000000,2025-01-01T06:24:42.000000,2025-01-03T01:01:09.000000,0,Wednesday,1
CR-12,Unauthorized attempt to disable endpoint protection,Hardware,Iron Man,Jan,Avengers II,Service C,Closed,Medium,High,High,Low,2025-01-01T07:28:41.000000,2025-01-01T11:51:12.000000,2025-01-01T16:59:32.000000,0,Wednesday,1
CR-13,Endpoint reported repeated blocked exploit attempts,Facilities,Thor,Thor,Avengers II,Service C,Closed,Low,Low,High,Low,2025-01-01T07:41:45.000000,2025-01-01T15:40:56.000000,2025-01-03T09:15:33.000000,1,Wednesday,0
CR-14,Certificate validation failure on secure connection,Data,Iron Man,Peter,Avengers,Service B,Closed,Medium,Medium,High,High,2025-01-01T20:07:54.000000,2025-01-02T00:51:21.000000,2025-01-03T21:28:39.000000,0,Wednesday,1
CR-15,Anomalous login pattern for service account,Complaint,Martin,Thor,Avengers II,Service B,Closed,Medium,Medium,High,High,2025-01-01T14:53:18.000000,2025-01-01T23:42:03.000000,2025-01-02T23:20:24.000000,1,Wednesday,0
CR-16,Suspicious authentication token reuse detected,Software,Jan,Martin,Matrix,Service C,Closed,High,High,Low,High,2025-01-01T08:16:59.000000,2025-01-01T15:59:22.000000,2025-01-01T22:11:18.000000,1,Wednesday,0
CR-17,New device connected to corporate Wi-Fi without registration,Facilities,Captain America,Peter,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-01-01T21:31:50.000000,2025-01-02T04:34:38.000000,2025-01-03T20:16:12.000000,1,Wednesday,0
CR-18,Privileged user access review identified anomalies,Facilities,Martin,Peter,Avengers II,Service B,Closed,High,Low,Medium,Medium,2025-01-01T17:41:53.000000,2025-01-02T01:55:40.000000,2025-01-02T07:18:22.000000,0,Wednesday,1
CR-19,Account lockout due to repeated failed authentication,Failure,Thor,Peter,Avengers II,Service C,On Hold,High,Low,High,Low,2025-01-01T19:12:35.000000,,,0,Wednesday,1
